title,artists,Length_minutes,Tempo,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness
cứ đổ tại cơn mưa,em xinh say hi,,,,,,,,,,
cứ đổ tại cơn mưa (solo & piano),em xinh say hi,,,,,,,,,,
cứ khóc hết đi em,cao thái sơn,,,,,,,,,,
cưa em bốn mùa,nb3 hoài bảo,,,,,,,,,,
cục vàng của anh,nana liu,,,,,,,,,,
cưới chính,nal,,,,,,,,,,
đã lỡ yêu em nhiều,justatee,,,,,,,,,,
đa nghi,anh trai say hi,,,,,,,,,,
đại dương,pháp kiều,,,,,,,,,,
đại khải hoàn,the flob,,,,,,,,,,
dancing in the dark,soobin,,,,,,,,,,
đánh đổi,obito,,,,,,,,,,
dẫu có đến đâu,anh trai say hi,,,,,,,,,,
đến đây bên anh,cloud 5,,,,,,,,,,
điều em khó nói,min,,,,,,,,,,
điều em không muốn,phùng khánh linh,,,,,,,,,,
đoạn kết mới,hoàng dũng,,,,,,,,,,
đoạn kịch câm,anh trai say hi,,,,,,,,,,
độc nhất vô nhị,anh trai say hi,,,,,,,,,,
đợi,52hz,,,,,,,,,,
đớn đau vô cùng,datkaa,,,,,,,,,,
dự báo thời tiết hôm nay mưa,grey d,,,,,,,,,,
dù cho mai về sau,buitruonglinh,,,,,,,,,,
dù cho tận thế,erik,,,,,,,,,,
đưa em về nhàa,grey d,,,,,,,,,,
đừng bất công với em mà,inso,,,,,,,,,,
đừng đóng vai nạn nhân,wendy thảo,,,,,,,,,,
đừng làm trái tim anh đau,sơn tùng m-tp,,,,,,,,,,
đừng yêu một người như,du uyên,,,,,,,,,,
đừng yêu một người như (rock version),du uyên,,,,,,,,,,
đường tôi chở em về,buitruonglinh,,,,,,,,,,
duyên nợ còn đâu,phạm vũ luân,,,,,,,,,,
e là không thể,anh quân,,,,,,,,,,
ếch ngoài đáy giếng,em xinh say hi,,,,,,,,,,
em,binz,,,,,,,,,,
em còn nhớ anh không - remastered,hoàng tôn,,,,,,,,,,
em cưới rồi à,thanh hưng,,,,,,,,,,
em đã chờ anh bao lâu,anh trai say hi,,,,,,,,,,
em đau,phùng khánh linh,,,,,,,,,,
em không cần,hannie,,,,,,,,,,
em nhắc anh,nana liu,,,,,,,,,,
em thua cô ta,min quỳnh anh,,,,,,,,,,
ex's hate me pt.2,amee,,,,,,,,,,
exit sign,hieuthuhai,,,,,,,,,,
feel at home,b ray,,,,,,,,,,
forget me now,fishy,,,,,,,,,,
fragile (intro),min,,,,,,,,,,
gã săn cá,em xinh say hi,,,,,,,,,,
ghé qua,pc,,,,,,,,,,
giá mà anh,captain boy,,,,,,,,,,
giá như,soobin,,,,,,,,,,
giờ thì,buitruonglinh,,,,,,,,,,
giữ anh cho ngày hôm qua,hoàng dũng,,,,,,,,,,
grief is the price you pay for love,phùng khánh linh,,,,,,,,,,
hà nội,obito,,,,,,,,,,
hai thế giới,hoàng thống,,,,,,,,,,
hải trình tan vỡ,trungg i.u,,,,,,,,,,
hãy nói anh sai rồi,phùng khánh linh,,,,,,,,,,
hãy trao cho anh,sơn tùng m-tp,,,,,,,,,,
hẹn gặp em dưới ánh trăng,manbo,,,,,,,,,,
hermosa,anh trai say hi,,,,,,,,,,
hiện thực phũ phàng,phùng khánh linh,,,,,,,,,,
hoa,chung thanh duy,,,,,,,,,,
hoa bất tử,thành đạt,,,,,,,,,,
hoa đỗ quyên,khả hiệp,,,,,,,,,,
hóa giải bằng nước mắt,cao thái sơn,,,,,,,,,,
họa sĩ tồi,thái học,,,,,,,,,,
hơn bất cứ ai (ai version),châu dương,,,,,,,,,,
hơn là bạn,anh trai say hi,,,,,,,,,,
hư không,kha,,,,,,,,,,
id 072019,w/n,,,,,,,,,,
ilysmbihtlyg (interlude),min,,,,,,,,,,
in love,low g,,,,,,,,,,
kệ nhắm mắt yêu luôn,hana cẩm tiên,,,,,,,,,,
kẻ say tình,quốc thiên,,,,,,,,,,
kết thúc và chia tay,nguyễn kiều oanh,,,,,,,,,,
khi em lớn,orange,,,,,,,,,,
kho báu,(s)trong,,,,,,,,,,
kho báu (rock ver.),(s)trong,,,,,,,,,,
kho báu (with rhymastic),(s)trong,,,,,,,,,,
khóa ly biệt,the masked singer,,,,,,,,,,
khóc blóck,phùng khánh linh,,,,,,,,,,
không buông,hngle,,,,,,,,,,
không đau nữa rồi,em xinh say hi,,,,,,,,,,
không thể say,hieuthuhai,,,,,,,,,,
không thời gian,dương domic,,,,,,,,,,
không yêu em thì yêu ai?,vũ.,,,,,,,,,,
kịch bản,táo,,,,,,,,,,
lạ lùng,vũ.,,,,,,,,,,
lễ đường,kai đinh,,,,,,,,,,
lệ ngang trời,hồ nhi,,,,,,,,,,
linh cảm,phùng khánh linh,,,,,,,,,,
lo người ướt áo,nguyễn thạc bảo ngọc,,,,,,,,,,
loser,min,,,,,,,,,,
love game,low g,,,,,,,,,,
love is,dangrangto,,,,,,,,,,
love my friend,shayda,,,,,,,,,,
lưới tình,j.ade,,,,,,,,,,
lý do nào để quay lại với nhau,par sg,,,,,,,,,,
make up,anh trai say hi,,,,,,,,,,
mảnh tình sai đôi,quang hà,,,,,,,,,,
mảnh tình sai đôi,thành đạt,,,,,,,,,,
