Date,Rank,Title,Artist,Featured_artists,Source
2025-11-06,7,EM ĐAU,Phùng Khánh Linh,Thành Luke,APPLE_MUSIC
2025-11-06,8,Quá Muộn,MIN,,APPLE_MUSIC
2025-11-06,9,Chế Độ Im Lặng,MIN,,APPLE_MUSIC
2025-11-06,10,HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,11,Có Em Là Nhà,MIN,,APPLE_MUSIC
2025-11-06,12,CỜ NGƯỜI,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,13,phải viết bao nhiêu bản tình ca,MIN,,APPLE_MUSIC
2025-11-06,14,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,16,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"Orange, Châu Bùi, Mỹ Mỹ, Pháp Kiều, 52Hz",APPLE_MUSIC
2025-11-06,17,NGƯỜI ĐẦU TIÊN,Juky San,,APPLE_MUSIC
2025-11-06,18,LOSER,MIN,Chillies,APPLE_MUSIC
2025-11-06,19,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,ANH TRAI SAY HI,"Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",APPLE_MUSIC
2025-11-06,20,Người Đầu Tiên,Juky San,buitruonglinh,APPLE_MUSIC
2025-11-06,21,Không Thể Say,HIEUTHUHAI,,APPLE_MUSIC
2025-11-06,22,LINH CẢM,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,23,Love Game,Low G,tlinh,APPLE_MUSIC
2025-11-06,24,Vùng An Toàn,B Ray,V#,APPLE_MUSIC
2025-11-06,25,"(từng là) Boyfriend, Girlfriend",MIN,,APPLE_MUSIC
2025-11-06,26,Phép Màu [Đàn Cá Gỗ Original Soundtrack],MAYDAYs,Minh Tốc & Lam,APPLE_MUSIC
2025-11-06,27,Tháng Năm,SOOBIN,,APPLE_MUSIC
2025-11-06,28,Mất Kết Nối,Dương Domic,,APPLE_MUSIC
2025-11-06,29,Kho Báu (with Rhymastic),STRONG,Rhymastic,APPLE_MUSIC
2025-11-06,30,Panorama,Richie D. ICY,Obito,APPLE_MUSIC
2025-11-06,31,TÂM SỰ VỚI ĐÊM MỘT MÌNH,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,32,Bình Yên,Vũ.,Binz,APPLE_MUSIC
2025-11-06,33,Hà Nội,Obito,"Shiki, VSTRA",APPLE_MUSIC
2025-11-06,34,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,,APPLE_MUSIC
2025-11-06,35,Anh Nhớ Ra,Vũ.,TRANG,APPLE_MUSIC
2025-11-06,36,ĐOẠN KỊCH CÂM,ANH TRAI SAY HI,"CONGB, Negav, B Ray, CODYNAMVO, Phạm Đình Thái Ngân, Mỹ Mỹ",APPLE_MUSIC
2025-11-06,37,đưa em về nhàa,GREY D,Chillies,APPLE_MUSIC
2025-11-06,38,Điều Em Khó Nói,MIN,,APPLE_MUSIC
2025-11-06,39,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,40,Nếu Những Tiếc Nuối,Vũ.,,APPLE_MUSIC
2025-11-06,41,ĐIỀU EM KHÔNG MUỐN,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,42,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,APPLE_MUSIC
2025-11-06,43,Anh Đã Quen Với Cô Đơn,SOOBIN,,APPLE_MUSIC
2025-11-06,44,PHÓNG ZÌN ZÌN,tlinh,Low G,APPLE_MUSIC
2025-11-06,45,Kho Báu,STRONG,,APPLE_MUSIC
2025-11-06,46,vaicaunoicokhiennguoithaydoi,GREY D,tlinh,APPLE_MUSIC
2025-11-06,47,Không Thời Gian,Dương Domic,,APPLE_MUSIC
2025-11-06,48,NOLOVENOLIFE,HIEUTHUHAI,,APPLE_MUSIC
2025-11-06,49,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,APPLE_MUSIC
2025-11-06,50,Ngày Này Năm Ấy,Viet Anh,,APPLE_MUSIC
2025-11-06,51,nếu lúc đó,tlinh,2pillz,APPLE_MUSIC
2025-11-06,52,DANCING IN THE DARK,SOOBIN,,APPLE_MUSIC
2025-11-06,53,Lạ Lùng,Vũ.,,APPLE_MUSIC
2025-11-06,54,Thanh Xuân,Da LAB,,APPLE_MUSIC
2025-11-06,55,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,56,Yêu 5,Rhymastic,,APPLE_MUSIC
2025-11-06,57,Có Đôi Điều,Shiki,,APPLE_MUSIC
2025-11-06,58,giá như,SOOBIN,,APPLE_MUSIC
2025-11-06,59,GRIEF IS THE PRICE YOU PAY FOR LOVE,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,60,Wrong Times,Puppy,Dangrangto,APPLE_MUSIC
2025-11-06,61,fragile (intro),MIN,,APPLE_MUSIC
2025-11-06,62,Nhiều Hơn,Low G,,APPLE_MUSIC
2025-11-06,63,Đoạn Kết Mới,Hoàng Dũng,,APPLE_MUSIC
2025-11-06,64,Nàng Thơ,Hoàng Dũng,,APPLE_MUSIC
2025-11-06,66,Thằng Điên,JustaTee,Phương Ly,APPLE_MUSIC
2025-11-06,67,Bước Qua Mùa Cô Đơn,Vũ.,,APPLE_MUSIC
2025-11-06,68,ILYSMBIHTLYG (interlude),MIN,,APPLE_MUSIC
2025-11-06,69,KHÓC BLÓCK,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-06,72,HƠN LÀ BẠN,ANH TRAI SAY HI,"Ngô Kiến Huy, Vũ Cát Tường, Karik, VƯƠNG BÌNH, Sơn.K, MIN",APPLE_MUSIC
2025-11-06,75,Đánh Đổi,Obito,"Shiki, RPT MCK",APPLE_MUSIC
2025-11-06,76,Những Lời Hứa Bỏ Quên,Vũ.,Dear Jane,APPLE_MUSIC
2025-11-06,78,Giữ Anh Cho Ngày Hôm Qua,Hoàng Dũng,"Rhymastic, LELAREC",APPLE_MUSIC
2025-11-06,79,vết thương,Fishy,,APPLE_MUSIC
2025-11-06,81,The Playah (Special Performance),SOOBIN,,APPLE_MUSIC
2025-11-06,82,Feel At Home,B Ray,,APPLE_MUSIC
2025-11-06,84,Anh Đã Ổn Hơn,RPT MCK,,APPLE_MUSIC
2025-11-06,85,Từng Quen,Wren Evans,itsnk,APPLE_MUSIC
2025-11-06,86,Giờ Thì,buitruonglinh,,APPLE_MUSIC
2025-11-06,87,Chăm Hoa,MONO,,APPLE_MUSIC
2025-11-06,88,Vài Lần Đón Đưa,SOOBIN,SpaceSpeakers,APPLE_MUSIC
2025-11-06,89,Chìm Sâu,RPT MCK,Trung Trần,APPLE_MUSIC
2025-11-06,90,1000 Ánh Mắt,Shiki,Obito,APPLE_MUSIC
2025-11-06,91,CỨ ĐỔ TẠI CƠN MƯA,EM XINH SAY HI,"Phương Ly, Orange, Châu Bùi, 52Hz, Vũ Thảo My",APPLE_MUSIC
2025-11-06,92,ĐA NGHI,ANH TRAI SAY HI,"Negav, Hải Nam, CODYNAMVO, Dillan Hoàng Phan",APPLE_MUSIC
2025-11-06,93,Nước Mắt Cá Sấu,HIEUTHUHAI,,APPLE_MUSIC
2025-11-06,94,Exit Sign,HIEUTHUHAI,marzuz,APPLE_MUSIC
2025-11-06,95,NGƯỜI YÊU CHƯA SINH RA,ANH TRAI SAY HI,"OgeNus, BigDaddy, Phúc Du, Hustlang Robber, Dillan Hoàng Phan",APPLE_MUSIC
2025-11-06,96,GÃ SĂN CÁ,EM XINH SAY HI,"Lâm Bảo Ngọc, Quỳnh Anh Shyn, MAIQUINN, Saabirose, Quang Hùng MasterD",APPLE_MUSIC
2025-11-06,97,Tình Nhân Ơi,Orange,Binz,APPLE_MUSIC
2025-11-06,99,Chuyện Đôi Ta,Emcee L (Da LAB),Muộii (Starry Night),APPLE_MUSIC
2025-11-06,100,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,,APPLE_MUSIC
2025-11-07,1,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",APPLE_MUSIC
2025-11-07,2,Em,Binz,,APPLE_MUSIC
2025-11-07,4,In Love,Low G,JustaTee,APPLE_MUSIC
2025-11-07,5,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,6,Không Buông,Hngle,Ari,APPLE_MUSIC
2025-11-07,7,EM ĐAU,Phùng Khánh Linh,Thành Luke,APPLE_MUSIC
2025-11-07,9,Quá Muộn,MIN,,APPLE_MUSIC
