spotify_track_id,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
3gLRyMbg5nWLcuKD46Uz72,0.03488400552624914,0.015250119387644444,0.0024442121563526087,0.003938102716951827,0.01259544511635987,0.002941115368939622,0.0031017816125104027,0.0025841620499710695,0.0465751437028827,0.0029194964680660297,0.003169399148185093,0.0022789210074568756,0.0055340403482095485,0.005993622917692494,0.0017317626171999706
6bVXD2LVlWNEKzftWhFKVD,0.020180115950406623,0.04485732201188502,0.0023970307180447687,0.002977599064312896,0.006008904309222088,0.00448833745701533,0.0021475109377942303,0.0019237907332912364,0.012839686164605296,0.0023076201610653106,0.004391540648811711,0.0029117449835809757,0.008936659884932243,0.01621731790899933,0.0020729222990025355
6KgZf5gZgF1KLNxq1qZgHP,0.02427975968212453,0.04050770920592508,0.002730277231866408,0.003338138327091351,0.0062908952992771355,0.005286005798233723,0.002303171722163137,0.0020481997850890425,0.01357598772547359,0.0025300293237599364,0.00530156193392574,0.0032978622096751222,0.010988324620798368,0.01687010628299274,0.002296560879005704
6GPcbZOX4h9MWert6xWpYw,0.4522713351463837,0.09671873864149426,0.01552348306738909,0.021769244546142034,0.04537614694016306,0.02056080232854422,0.013831843679428352,0.011693774801265959,0.1274293983896974,0.014464050112595416,0.02353086204130417,0.01417794693795999,0.050745887716925404,0.06930927059132821,0.01045341298440838
2JNrm4tcukECnbEPcS0lln,0.3722624378619147,0.11298970883943299,0.01958591953120633,0.026311760992426495,0.05773975254965137,0.025268197470616833,0.01766813436717872,0.015102433879948722,0.15349437160996104,0.018218319701477286,0.028060397748246476,0.01812234723379877,0.05392455243884744,0.06755261271987362,0.013699053055419321
2xO02FYqG0OKm53WwEU4FL,0.04145062846170186,0.015226871150367147,0.002845785175422874,0.0056847413860922425,0.009250158896099515,0.0031435232708592617,0.0032995801382771093,0.002592972136190431,0.02095956774167472,0.0033932010443162553,0.004119307277935807,0.002290904942752507,0.005166004163779039,0.006040097289371321,0.0017412200422590519
2rYNZ11xKh4Rb8vfobSVoN,0.17387768859470742,0.044675124252748125,0.007767079349410662,0.010630735604771966,0.026481738061880603,0.009748606804497878,0.007778782117753547,0.006697645882807614,0.07044985383644756,0.00779607763004081,0.010434375510363659,0.007301351108985744,0.017915729845897243,0.02189651467517455,0.005559080452638269
5VGOYjxkEaf19LoRPIolD2,0.15127166388181437,0.14425356080610308,0.015156233521938291,0.025948185126030976,0.10681808405129595,0.018743924026264812,0.021000256235979536,0.017815106814563605,0.25803327162911016,0.019055657701462766,0.020541885605430403,0.014117784915335888,0.03278778999351972,0.040870738292080946,0.010674959806807226
3N02LWl86YenzSDo7JegsG,0.040256665494314656,0.024465654474834557,0.00951611636736848,0.013292290075506388,0.008871268070042161,0.010464221355337845,0.004524177302218416,0.0038245495616989864,0.016159251973985416,0.005753200926132688,0.02619981762631827,0.006806281474729937,0.008360950186214354,0.0073823855092469085,0.004960189959895865
5nIjIE2ZC0Q3sUqdMh2K21,0.3582996796934891,0.08217072774097248,0.015734215183479897,0.024264688414706567,0.05810378470114111,0.018736788466870526,0.016894144686560156,0.013912606741490434,0.16911436861404475,0.016916298249553905,0.020760487640113342,0.013964321119853887,0.036228573641641296,0.03919911576503458,0.010486253136321231
5HcJuxTPZprZegfyQJh5H5,0.09751969225304453,0.3880497037531426,0.01254389477044758,0.018183996423356913,0.06088290143979461,0.01650617402147946,0.014363606150043888,0.013274878562233135,0.12278681099334451,0.01352851600029976,0.01760019282558837,0.012278987068485342,0.02746892842621699,0.03764088716459059,0.009438561652709255
2aUzsY27OWT3v7OJgQgVdt,0.1269392551950869,0.30514854088341137,0.01482771802893264,0.021632383206512663,0.07134809568428743,0.019377132874527865,0.01679549181912088,0.015162958132191321,0.1945676924325203,0.015836716944175263,0.02088825124087013,0.014320196895312514,0.03410263391337219,0.048814884574212666,0.011054809573386197
