title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
khi em lớn,orange,hoàng dũng,spotify,59,2021-04-20,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3J06iY9IRWKr1H0zIxrUby,1,93.0,,2.0,11.35,,,2.0,93.0,1416.0,24984814.0,3.0,,,,,,,
cho tôi lang thang,ngọt,đen,spotify,60,2018-03-27,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",2zRzmGerfTxc2epZHgaTdh,1,93.0,,2.0,11.35,,,2.0,93.0,1729.0,23265159.0,18.0,,,,,,,
tạm bợ,miina,"zio.b, rin9, dreamer",zingmp3,27,2025-05-30,v-pop,00dggIDSzu0KPsK07wAGtZ,1,92.0,,1.0,11.23,,,,,,,,,,,1.0,92.0,5000.0,612000.0
chill guys ngon zai,anh trai say hi,"bigdaddy, ogenus, b ray, phúc du",zingmp3,55,2025-09-22,"v-pop, vietnamese hip hop",7bRV274z4g3Lns0xV8xYzY,1,94.0,,2.0,10.95,,,,,,,,,,,2.0,94.0,14000.0,754000.0
sân ga đời anh,dương masterd,,zingmp3,0,2025-10-18,none,7Hq4Qu97GjkzDVY9IQEpgF,1,93.0,,1.0,10.83,,,,,,,,,,,1.0,93.0,,
nửa quân bài,trịnh đình quang,,zingmp3,6,2025-11-05,"vinahouse, v-pop",1Cz1n58NwjYu2Oh5actO2b,1,93.0,,1.0,10.83,,,,,,,,,,,1.0,93.0,9000.0,789000.0
Khép Lại,Linh Hương Luz,,zingmp3,14,2025-08-22,"vinahouse, v-pop, vietnamese lo-fi",7al6ZREBUKbtwH2VpsaAkh,1,95.0,,1.0,10.03,,,,,,,,,,,1.0,95.0,1000.0,244000.0
tình yêu bất diệt,hồ việt trung,saka trương tuyền,zingmp3,30,2025-04-03,"vietnamese bolero, v-pop, vinahouse, vietnamese lo-fi, bolero",3Ut2FPcM4l3wGEjvpGmulk,1,96.0,,1.0,9.63,,,,,,,,,,,1.0,96.0,167000.0,8600000.0
ngày mai em đi,lê hiếu,"soobin, touliver",spotify,59,2017-08-02,"v-pop, vietnam indie, vietnamese bolero, vietnamese hip hop, vinahouse",0ZP4bO2ywAv44HiEzzHaq5,1,96.0,,1.0,9.63,,,1.0,96.0,1661.0,15857549.0,2.0,,,,,,,
yêu rồi để đó,đàm vĩnh hưng,,zingmp3,33,2025-05-28,"vietnamese bolero, bolero, v-pop, vinahouse",65kpTC4uDN8jbbkEHgAqdk,1,98.0,,1.0,8.83,,,,,,,,,,,1.0,98.0,81000.0,5800000.0
an thần,low g,thắng,spotify,61,2021-10-21,"vietnamese hip hop, v-pop, vietnam indie",5C3fx9rdM4Bxf1MSOQC4Ym,1,98.0,,1.0,8.83,,,1.0,98.0,1467.0,44190203.0,1.0,,,,,,,
Ngày Đầu Tiên,Đức Phúc,,apple,53,2022-02-11,"v-pop, vinahouse, vietnam indie",5Msoarj5hk9LguTtiIyqug,1,98.0,,1.0,8.83,1.0,98.0,,,,,,,,,,,,
xa em,thanh hưng,,zingmp3,33,2025-06-06,"v-pop, vinahouse",37zRN1vtKBGw5KD3pP4VmR,1,98.0,,1.0,8.83,,,,,,,,,,,1.0,98.0,24000.0,2400000.0
vỗ tay,em xinh say hi,phương ly,zingmp3,55,2025-08-18,v-pop,4NLtxANI9YZgZbrZdOaSZJ,1,99.0,,1.0,8.43,,,,,,,,,,,1.0,99.0,19000.0,1400000.0
để tôi ôm em bằng giai điệu này,Kai Đinh,"GREY D, MIN",apple,56,2022-12-22,"v-pop, vietnamese lo-fi, vietnam indie",5qbjUmVV1yOOjcMOInNPYD,1,99.0,,1.0,8.43,1.0,99.0,,,,,,,,,,,,
ngây ther,kidsai,"vstra, whenitsasunniday",spotify,54,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",437CIQ8M980cDL9Xh9eUoP,1,100.0,,1.0,8.03,,,1.0,100.0,3.0,85421.0,100.0,,,,,,,
Sẽ Quên Em Nhanh Thôi,SOOBIN,,spotify,55,2025-07-24,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6AU9qkbiGBauGjmBX6GfuU,1,100.0,,1.0,8.03,,,1.0,100.0,104.0,2918088.0,65.0,,,,,,,
chí phèo,đinh tiến đạt,monocycle,zingmp3,18,2025-10-15,"v-pop, vietnamese hip hop, vietnam indie",7tG1fSCUeG9NqCeyRonXPG,0,,,0.0,,,,,,,,,,,,,,,
PRE-ECHO,Lohan,"A1J, Diiton",zingmp3,15,2025-11-11,v-pop,6oFjIywtPgod5uHciLBsYc,0,,,0.0,,,,,,,,,,,,,,,
