title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
chuyện đôi ta,emcee l,muộii (starry night),"apple, spotify",67,2021-12-01,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",4CUvVaAYuXtvYURLFz7EIL,1,15.0,,6.0,44.66,,,6.0,15.0,1443.0,68943730.0,2.0,,,,,,,
e là không thể,anh quân,,"nct, spotify",61,2024-11-29,"vinahouse, vietnamese lo-fi, v-pop",0mcveJtBYTbLJa5dHvtxJJ,1,21.0,,10.0,44.36,,,,,,,,10.0,21.0,186545.0,,,,
anh nhớ ra,vũ.,trang,apple,59,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",7eDrdQ7PK9Xm1CZCKWsgmH,1,21.0,,10.0,44.36,10.0,21.0,,,,,,,,,,,,
nếu ngày ấy,soobin,,spotify,63,2019-07-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4BdB08vuS9r4HOoY7GkAxT,1,25.0,,13.0,44.34,,,13.0,25.0,322.0,10315689.0,25.0,,,,,,,
polite,sonaone,tlinh,zingmp3,48,2025-11-04,"malay rap, malay, malay pop, malaysian pop",3EfychxMku3sRuso0jkGis,1,18.0,,7.0,43.98,,,,,,,,,,,7.0,18.0,,
"(từng là) boyfriend, girlfriend",min,,apple,51,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7B2UpgEZe68OdfKzBb8JZq,1,22.0,,10.0,43.96,10.0,22.0,,,,,,,,,,,,
có em,madihu,low g,spotify,65,2022-04-22,"v-pop, vietnam indie, vietnamese hip hop",6Hs2xIgB8nzyGFDvVA8lFa,1,26.0,,13.0,43.94,,,13.0,26.0,1288.0,42625399.0,2.0,,,,,,,
chúng ta của hiện tại,sơn tùng m-tp,,"apple, spotify",63,2020-12-20,"v-pop, vinahouse, vietnamese hip hop",1J3SmWwlYAG68LGKr86MVH,2,52.0,,17.0,43.15,5.0,94.0,12.0,52.0,1790.0,58481631.0,1.0,,,,,,,
sinh ra đã là thứ đối lập nhau,emcee l,"da lab, badbies",spotify,65,2020-12-29,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",5BTzf3doGTigDIYUFtbkI9,1,28.0,,13.0,43.14,,,13.0,28.0,1519.0,52672401.0,16.0,,,,,,,
love is,dangrangto,,spotify,64,2023-06-27,"vietnamese hip hop, v-pop",226ljdOTLM2clGpm4mZvAm,1,29.0,,13.0,42.74,,,13.0,29.0,384.0,24015437.0,7.0,,,,,,,
một bài hát không vui mấy - extended version,t.r.i,"dangrangto, donal",spotify,65,2024-12-24,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",36fgG6NiEuQXznNgf5y2Ck,1,29.0,,13.0,42.74,,,13.0,29.0,313.0,16446746.0,17.0,,,,,,,
đừng đóng vai nạn nhân,wendy thảo,v2t media,zingmp3,31,2025-10-03,"v-pop, vinahouse",4zUu2z3zh1Swd5kKbjm9DG,1,36.0,,17.0,42.05,,,,,,,,,,,17.0,36.0,21000.0,700000.0
dự báo thời tiết hôm nay mưa,grey d,,"apple, spotify",62,2022-11-22,"v-pop, vietnam indie, vietnamese hip hop",65cM1nyMf9pFDZVV8xmPX9,2,55.0,,17.0,41.95,5.0,65.0,12.0,55.0,1087.0,35750067.0,5.0,,,,,,,
đại dương,pháp kiều,,zingmp3,0,2025-11-12,"v-pop, vietnamese hip hop",5osp8hYqK6oEjpzbChA54e,1,17.0,,2.0,41.75,,,,,,,,,,,2.0,17.0,60000.0,
chẳng thể cảm hóa,lương quý tuấn,an clock,zingmp3,43,2025-05-14,"vinahouse, v-pop",7GeFFX8J17502ne4TRDVSi,1,37.0,,17.0,41.65,,,,,,,,,,,17.0,37.0,158000.0,5900000.0
rơi tự do,em xinh say hi,lyhan,zingmp3,58,2025-08-18,v-pop,2xxneabRzrlVgHRv0HtHxl,1,39.0,,18.0,41.37,,,,,,,,,,,18.0,39.0,30000.0,2300000.0
mảnh tình sai đôi,quang hà,,zingmp3,36,2025-08-18,"vinahouse, v-pop, vietnamese bolero",4CbfBM3cqdXilXNSat7mnP,1,38.0,,17.0,41.25,,,,,,,,,,,17.0,38.0,26000.0,1600000.0
nhắn nhủ,ronboogz,,spotify,64,2023-12-12,"v-pop, vietnamese hip hop, vietnam indie",2uZmeuNAxSm7XfVIwLkhCx,1,33.0,,13.0,41.14,,,13.0,33.0,700.0,36988339.0,9.0,,,,,,,
chịu cách mình nói thua,rhyder,"coolkid, ban",spotify,64,2023-11-22,"v-pop, vietnamese hip hop",3ZbZtdEw9U0uZW4tZItIwq,1,33.0,,13.0,41.14,,,13.0,33.0,723.0,51359776.0,4.0,,,,,,,
anh thua người ta nhiều lắm,nb3 hoài bảo,ct,zingmp3,28,2025-08-17,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",38I9WxdCEH2nlKAHsAayyI,1,40.0,,17.0,40.45,,,,,,,,,,,17.0,40.0,41000.0,1700000.0
dù cho tận thế,erik,,nct,60,2025-02-06,"v-pop, vinahouse, vietnam indie",0oSc7X1uRQGuEqNRtXEeQL,1,31.0,,10.0,40.36,,,,,,,,10.0,31.0,243205.0,,,,
tràn bộ nhớ,dương domic,,spotify,64,2024-11-22,"v-pop, vietnamese hip hop",0669gFIK8dYK9GGQ0K0QNF,1,35.0,,13.0,40.34,,,13.0,35.0,356.0,23096835.0,5.0,,,,,,,
độc nhất vô nhị,anh trai say hi,"karik, vũ cát tường, gill, tez","nct, zingmp3",57,2025-09-22,"v-pop, vietnamese hip hop",3nglEHRDn1MEy3vmMNfLl5,2,49.0,,9.0,40.14,,,,,,,,1.0,49.0,25775.0,8.0,83.0,16000.0,905000.0
có mình và ta,nguyễn vĩ,,zingmp3,40,2025-09-16,"vinahouse, vietnamese lo-fi, v-pop",00aePbGy0OSKVotPHGQlT2,1,41.0,,17.0,40.05,,,,,,,,,,,17.0,41.0,25000.0,981000.0
bắt con bướm vàng,danhka,,zingmp3,37,2025-08-05,"vinahouse, v-pop",1UlLetlR4rH6zU3azbU55V,1,42.0,,17.0,39.65,,,,,,,,,,,17.0,42.0,37000.0,1800000.0
anh vui,phạm kỳ,,nct,57,2023-03-10,"vinahouse, v-pop, vietnamese lo-fi",7asicziv1NB49eEA1ZPp2O,1,33.0,,10.0,39.56,,,,,,,,10.0,33.0,91882.0,,,,
điều em khó nói,min,,apple,53,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1i8XBFqEFIGbzLXvqu9c3b,1,33.0,,10.0,39.56,10.0,33.0,,,,,,,,,,,,
sau cơn mưa,coolkid,rhyder,spotify,64,2023-07-28,"v-pop, vietnamese hip hop",4fj4Jn4nw8fGX8xdbCntJf,1,36.0,,12.0,39.42,,,12.0,36.0,803.0,51236484.0,7.0,,,,,,,
