title,artists,spotify_popularity,release_date,spotify_genres,spotify_track_id,total_plays,total_likes_nct,spotify_streams,is_hit,release_year
The One For Me,KayC,51,2025-03-27,"vietnamese hip hop, v-pop, vietnam indie",3eJr9Z8KZuOTRblAeJi2zB,0.0,0.0,0.0,1,
Anh Đã Chờ Rất Lâu,Sixkie Dawgz,51,2025-03-27,v-pop,5NWkYMp7RhANkoJqk3ZBGh,0.0,0.0,0.0,1,
Đã Lâu Rồi,Negav,51,2025-03-08,"v-pop, vietnamese hip hop, vietnam indie",4sUbVbW9m7WVX1KOZ4zLc9,0.0,0.0,0.0,1,
Bắc Bling (Bắc Ninh) (Prod. by Masew),Hoà Minzy,51,2025-03-01,"v-pop, vinahouse",4L2xuczFpbb7cjXebOBNkt,0.0,0.0,0.0,1,
ĐOÁ HOA,TeuYungBoy,59,2025-03-08,"vietnamese hip hop, v-pop",354swDEk1Zdo9y57fEqmRg,0.0,0.0,0.0,1,
NẾU KHI ẤY,Negav,54,2025-02-18,"v-pop, vietnamese hip hop, vietnam indie",40jjlmDAskFndmzjWVoCQk,0.0,0.0,0.0,1,
Ánh Mắt Biết Cười,Quang Hùng MasterD,61,2025-01-26,"v-pop, vinahouse, vietnamese hip hop",5JoQSuMrHdu7BcgIY9hDcX,0.0,0.0,0.0,1,
Tiến Hay Lùi (Nụ Hôn Bạc Tỷ Original Soundtrack),Bùi Công Nam,55,2025-01-21,"v-pop, vietnam indie",5ca1aUHYwTDNO5E6unithq,0.0,0.0,0.0,1,
Tình Yêu Buông Tha Cho Chúng Ta,Trungg I.U,55,2025-01-02,"v-pop, vinahouse, vietnam indie",3hjirCdXFnVJDZsXlOfhfd,0.0,0.0,0.0,1,
Track 06,Tyronee,60,2024-12-05,"v-pop, vietnam indie, vietnamese hip hop",72NMPuJCRsOUoXQJdzVfdo,0.0,0.0,0.0,1,
"SAO HẠNG A (feat. HIEUTHUHAI, Dương Domic, Song Luân, Jsol & Trần Đăng Dương)",ANH TRAI SAY HI,54,2024-09-18,"v-pop, vietnamese hip hop",446ygEWkggc5FMbBPQSMuM,0.0,0.0,0.0,1,
HOP ON DA SHOW,tlinh,56,2024-09-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",0SLzsfxED15vyUccX4bCqo,0.0,0.0,0.0,1,
Bước Za Đi Xa,Wxrdie,59,2024-09-18,"vietnamese hip hop, v-pop",3ER1r0HipeSSu7YNImC6vd,0.0,0.0,0.0,1,
Mình Anh Thôi,Negav,57,2024-09-04,"v-pop, vietnamese hip hop, vietnam indie",7Cjsw965r7mVK888ZqP6Wo,0.0,0.0,0.0,1,
Say Yes (Vietnamese Version),Chọn gì? Chọn đi!,51,2024-09-11,v-pop,7mbWwlHgukuuW8r7Nc3FHv,0.0,0.0,0.0,1,
Cuộc gọi lúc nửa đêm,AMEE,50,2024-08-02,"v-pop, vietnamese hip hop, vietnam indie",6P7xEmk7ZZYz0AV84uOwiW,0.0,0.0,0.0,1,
Yên Bình Có Quá Đắt Không,Khiem,54,2024-06-23,"v-pop, vietnam indie",0A0oqleZkyD8FN6aW48Jzn,0.0,0.0,0.0,1,
2 4,W/N,58,2024-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",6r5o9yIc16ZvymXUKJQ1yy,0.0,0.0,0.0,1,
MỘNG YU,AMEE,60,2024-08-02,"v-pop, vietnamese hip hop, vietnam indie",5oFEvbM7lGnx8jfAkuhVyo,0.0,0.0,0.0,1,
Lặng,Rhymastic,59,2024-07-09,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6f7M5UzYYeLFCMIBQhxk2J,0.0,0.0,0.0,1,
Ngày Đầu Sau Chia Tay,Đức Phúc,56,2024-06-20,"v-pop, vinahouse, vietnam indie",6xKs4CnVadRzdNZ48vhT27,0.0,0.0,0.0,1,
Hẹn Một Mai - From 4 Năm 2 Chàng 1 Tình Yêu,Bùi Anh Tuấn,59,2024-03-04,v-pop,5BJqg07SKgmFnVLOBmLFvq,0.0,0.0,0.0,1,
Thiên Lý Ơi,Jack - J97,54,2024-02-22,"v-pop, vinahouse, vietnamese lo-fi",3ztP5O7dJSha2PG429eUCb,0.0,0.0,0.0,1,
Trái đất ôm Mặt trời,Kai Đinh,54,2023-12-18,"v-pop, vietnamese lo-fi, vietnam indie",4NTanSVXBkQ2NmDEbr2vLE,0.0,0.0,0.0,1,
Chàng Trai Bất Tử,An Vũ,57,2024-01-11,"v-pop, vinahouse, vietnamese lo-fi",18iADruKMXIloyA9vCJXFE,0.0,0.0,0.0,1,
Đại Lộ Mặt Trời,Chillies,52,2024-01-04,"v-pop, vietnam indie, vietnamese hip hop",0RRaMSF6sPNAvMTntUiv8m,0.0,0.0,0.0,1,
Tò Te Tí,Wren Evans,55,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",0X28PqBpbQhWdi4usYw0w5,0.0,0.0,0.0,1,
bé ơi từ từ,Wren Evans,52,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",0tGmDUHDoT8pxYhgAT3yNG,0.0,0.0,0.0,1,
ĐỢI (Prod. RIO),52Hz,60,2023-12-15,"v-pop, vietnam indie, vietnamese hip hop",5C1O3fpMsiisJpHiB1uuDf,0.0,0.0,0.0,1,
Rồi Em Sẽ Gặp Một Chàng Trai Khác,The Masked Singer,59,2023-11-12,v-pop,3K7RddI2L8Wiv7uIbrhfLc,0.0,0.0,0.0,1,
Em Có Nhớ Anh Không ?,Hiya,56,2023-11-05,"v-pop, vinahouse",4xjMsuPSMtGwFvwdnEFDKn,0.0,0.0,0.0,1,
id T41104 (feat. 267),W/N,55,2023-10-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",07tiPBhMqiKqHowwqDBtfK,0.0,0.0,0.0,1,
Hit Me Up (feat. Nomovodka),Binz,50,2023-10-19,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",4acXEYw7ayyJnm9GXDrqiL,0.0,0.0,0.0,1,
Anh Luôn Như Vậy,B Ray,52,2023-10-05,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",3CyGK8BeJ5iCunpzvHyINs,0.0,0.0,0.0,1,
Tình cờ yêu em,Kuun Đức Nam,58,2023-06-10,"v-pop, vietnam indie",0gzpqwLf1jhNjnSJEyweAX,0.0,0.0,0.0,1,
MAKING MY WAY,Sơn Tùng M-TP,50,2023-05-05,"v-pop, vinahouse, vietnamese hip hop",6HGOxrNik4iPurqStawTFQ,0.0,0.0,0.0,1,
Trước Khi Em Tồn Tại,Thắng,58,2023-04-30,"vietnam indie, v-pop, vietnamese hip hop",1yo967mk7CpjvruNxBecOY,0.0,0.0,0.0,1,
Thôi Em Đừng Đi,RPT MCK,55,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",7kpNUrBDYDoX6QKGzrBD1R,0.0,0.0,0.0,1,
Bật Tình Yêu Lên,Tăng Duy Tân,53,2023-02-14,"v-pop, vinahouse, vietnamese lo-fi",62SFLTN7txImu8pQwBMP6A,0.0,0.0,0.0,1,
