title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
Ala Ela,RAP VIỆT,nan,new_hits_scraped_old,31,2020-11-16,"vietnamese hip hop, v-pop",0aOOB0EuwnWuoAqzR4THA9,alaela||rapviet,"('ala ela', 'rap, việt', 'nan')"
All The Fans,Rhymastic,nan,bsides_non_hit,27,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6YZUeBdhpZ3xEcfGeMQje7,allthefans||rhymastic,"('all the fans', 'rhymastic', 'nan')"
Anh Chưa Thương Em Đến Vậy Đâu,Myra Trần,nan,"new_hits_scraped, new_hits_scraped_old",56,2023-01-04,"v-pop, vietnam indie, vietnamese hip hop",3QD2NfLEIvMRbzv2uTu4B7,anhchuathuongemdenvaydau||myratran,"('anh chưa thương em đến vậy đâu', 'myra, trần', 'nan')"
Anh Chỉ Muốn,Ronboogz,nan,spotify,61,2023-10-18,"v-pop, vietnamese hip hop, vietnam indie",2n00rcPaXcWfFB9irOKOmh,anhchimuon||ronboogz,"('anh chỉ muốn', 'ronboogz', 'nan')"
Anh Không Cố Ý,RAP VIỆT,nan,new_hits_scraped_old,35,2023-08-09,"vietnamese hip hop, v-pop",5RuZw8NsvI4BSlmI2yqgeS,anhkhongcoy||rapviet,"('anh không cố ý', 'rap, việt', 'nan')"
Anh Luôn Như Vậy,B Ray,nan,"new_hits_scraped, new_hits_scraped_old",52,2023-10-05,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",3CyGK8BeJ5iCunpzvHyINs,anhluonnhuvay||bray,"('anh luôn như vậy', 'b, ray', 'nan')"
Anh Là Ai,Phương Ly,nan,"new_hits_scraped, new_hits_scraped_old, spotify",55,2019-05-15,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",0JzNOFN9AfxWYCQX8kfiyp,anhlaai||phuongly,"('anh là ai', 'ly, phương', 'nan')"
"Anh Là Ai? (feat. Dick, DT & UMIE)",RAP VIỆT,nan,"new_hits_scraped, new_hits_scraped_old",51,2023-08-09,"vietnamese hip hop, v-pop",6HpkHTTwfVmSoopeloHqOp,anhlaai||rapviet,"('anh là ai?', 'rap, việt', 'dick, dt, nan, umie')"
Anh Là Ngoại Lệ Của Em,Phương Ly,nan,"new_hits_scraped, new_hits_scraped_old",57,2023-10-05,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6KgZf5gZgF1KLNxq1qZgHP,anhlangoailecuaem||phuongly,"('anh là ngoại lệ của em', 'ly, phương', 'nan')"
Anh Muốn,PAR SG,nan,bsides_non_hit,17,2025-05-09,"vietnamese lo-fi, vietnamese hip hop, vietnam indie, v-pop",3N02LWl86YenzSDo7JegsG,anhmuon||parsg,"('anh muốn', 'par, sg', 'nan')"
Anh Sẽ Đến Bên Em,Anh Quân Idol,nan,bsides_non_hit,16,2024-03-18,"vinahouse, vietnamese lo-fi, v-pop",4g1PBqbsoxf2GdcLT0hGTu,anhsedenbenem||anhquanidol,"('anh sẽ đến bên em', 'anh, idol, quân', 'nan')"
Anh Vẫn Ở Đây,Quang Đăng Trần,nan,bsides_non_hit,38,2025-06-30,"vietnamese lo-fi, v-pop, vinahouse",3HiEO7xIH81yDVivdugnDP,anhvanoday||quangdangtran,"('anh vẫn ở đây', 'quang, trần, đăng', 'nan')"
Anh Đánh Rơi Người Yêu Này,Andiez,nan,"new_hits_scraped, new_hits_scraped_old",56,2019-07-15,"v-pop, vietnam indie, vietnamese lo-fi",5J90ah0ppUSev1uahqQiN6,anhdanhroinguoiyeunay||andiez,"('anh đánh rơi người yêu này', 'andiez', 'nan')"
Anh Đâu Là Gì,Anh Quân,nan,zingmp3,27,2025-09-24,"vinahouse, vietnamese lo-fi, v-pop",6IbuZrVNc1jJaeXTx3ABZJ,anhdaulagi||anhquan,"('anh đâu là gì', 'anh, quân', 'nan')"
