artist_id,artist_name,genres,followers,popularity
73jYB754ez8rGnHM79YeuE,Trịnh Đình Quang,"v-pop, vinahouse, vietnamese bolero",198150,39
73u1HXkgOyPtnLAP3RMPHX,Khuyến Dương,"vinahouse, v-pop",207,16
743kOxzIuTrJ5Mr7OBMViF,Nam Cocain,vietnamese hip hop,323,24
74qKyXT7meuJ49jbtCXk7s,Hari Won,v-pop,216489,26
74WJHQjKr93pw6lxgWAaxM,Ngoc Lan,"vietnamese bolero, bolero, v-pop",30590,35
7571XEqHqL61NDiLtWXhS5,(S)TRONG,v-pop,26693,48
75COYsQ6x6a6Ri8zBWKBlr,MASTAL,"vietnamese hip hop, v-pop, vietnam indie",364,25
75Ki5hBCOpDtKGoFyTvLxP,Lou Hoàng,"v-pop",612911,55
75mHOiQ69uIP1OdE6uAmiD,Enkey,vietnamese hip hop,523,12
76fm2NyyYS5cjegkXhVAlL,LVK,"vietnamese hip hop, v-pop",6322,40
76nos2JmvLyYGZ28ribrf7,MiiNa,v-pop,50405,38
77JieyHvTBIdnZFWJ6K4Xi,Bạn Nhạc.,"v-pop, vietnam indie",129,36
77P1juitmNJV2mOz0oMmkB,Luna Đào,v-pop,2802,20
77VlWOeQSeqUgCWIWpVci2,Đoàn Minh Vũ,v-pop,26,10
78BCjtPwVVmrolLWLArPaX,MegaShock,"vietnamese hip hop, v-pop",2949,18
78HFiqRqptzoqqjvM2JWfa,T00n,"vietnamese hip hop, v-pop",678,7
78TTKBLrw5XIRty0KnyftQ,Minh Vương M4U,"v-pop, vinahouse, vietnamese bolero",170107,42
79BbybQeUyNyFB8ghq4neb,Nomovodka,"v-pop, vietnamese hip hop, vietnam indie",4673,30
79jy4md11w90FLgTNEOw22,Anh Khơ Me,vietnamese hip hop,1346,17
7A83poX39d7h57hTv2kQRD,Triều Quân,"vietnamese bolero, bolero",242,7
7ACmAonx1ocnHA1vo0znRk,Reyvin,"vinahouse, v-pop",93,22
7AgdPwUqaw16ej0k6yzAmL,Quỳnh Gai,v-pop,18,2
7AjrzSwNXDH9bZjjCKR8kA,Bảo Uyên,"v-pop, vinahouse",7846,34
7Am0uM7zd9oMI8Qyo5qmZd,Bon Ma,vietnam indie,326,4
7ARoCnjLwvO9WuDz69mFJn,YBF LUCI,vietnamese hip hop,956,15
7asjfUiMGUzx0OJY4gwE7r,QuyMoc,vinahouse,50,26
7aSN5TnSQet7xNM7LapfTE,Huỳnh Công Hiếu,vietnamese hip hop,825,8
7at0gkjCnhOBrxwQlJPJ4s,Ngô Kiến Huy,v-pop,204876,51
7BmfnPctIpdj3f7onr5X8X,Hoang Ha Tran,"vietnam indie, v-pop",59,17
7BoWXSjd9ItVp9B9CVzKWz,Roy Nguyen,v-pop,488,10
7BpEU1GGh7rudaCIFUbqTp,PhongG,"vietnamese lo-fi, v-pop, vietnamese bolero, vinahouse",659,33
7Bs3lV6vY7QYI6Ed0RkSWs,Cừu Bông,v-pop,998,20
7BWNm2hXOL9wEuinNnWpxy,7UPPERCUTS,"vietnam indie, v-pop, vietnamese hip hop",97293,33
7cBqTYdmPd0uqxCbq6bQMP,VCC Toska,"vietnamese hip hop, v-pop, melodic rap",1495,20
7CimIpW5EYt7h5mfVXTUOJ,HThuong,"vinahouse, v-pop",13,23
7cJyqnwFpBTzP1eO1cgPhk,Phương Anh,"vietnamese bolero, bolero",46522,31
7cmcZaAbbTZIKiqIBJ2ycu,Mỹ Linh,"v-pop, vietnamese bolero",71011,36
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,"v-pop, vietnamese lo-fi, vietnam indie",1048630,63
7cQySxReeKV6Kn1w7tRegz,Khánh Jayz,vietnamese hip hop,1614,20
7CRwRDU5XZyasG8rnNwCFG,Duy Lân,v-pop,866,42
7CvaEyUJFgQOdgzfqqU5t7,Limitlxss,"vietnamese hip hop, v-pop",17902,34
7dFC6SVFS2YkIcRfE2SyfV,Dab,"v-pop, vietnamese hip hop",43445,46
