artist_id,artist_name,total_followers,popularity,genres,spotify_url,image_url
0aNyWetkjBvIdZvJY00yEa,Phan Mạnh Quỳnh,1165498,54,"v-pop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/0aNyWetkjBvIdZvJY00yEa,https://i.scdn.co/image/ab6761610000e5eb90e8f2fa6b253ae181e8daf4
2LX2SKJhvZjyH4Z7XMptjd,Quang Đăng Trần,25326,54,"vietnamese lo-fi, v-pop, vinahouse",https://open.spotify.com/artist/2LX2SKJhvZjyH4Z7XMptjd,https://i.scdn.co/image/ab6761610000e5ebb9097a928b3621fd6eded78d
0zo8kCJVktn7oPnzpkbC2p,14 Casper,104072,54,"v-pop, vietnamese lo-fi, vietnam indie",https://open.spotify.com/artist/0zo8kCJVktn7oPnzpkbC2p,https://i.scdn.co/image/ab6761610000e5ebfc4fac36bde861a01948db14
70swmqj7c3SHkkdf2SrSUy,LYHAN,68489,54,v-pop,https://open.spotify.com/artist/70swmqj7c3SHkkdf2SrSUy,https://i.scdn.co/image/ab6761610000e5eb9b106081ad6c1589e32d0f6b
1nX1HVIUo1Zfs3e2v3lFb9,Changg,177861,54,"v-pop, vietnam indie, vietnamese hip hop, vietnamese lo-fi",https://open.spotify.com/artist/1nX1HVIUo1Zfs3e2v3lFb9,https://i.scdn.co/image/ab6761610000e5eb9e53df00a6150ec6a2ba319f
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,116650,54,"v-pop, vietnamese lo-fi, vietnam indie",https://open.spotify.com/artist/3E6LGptA8lBEXPHAQCE3vr,https://i.scdn.co/image/ab6761610000e5ebc9abb4a1eb3dcd342650df35
63SNH9m8M034lCGELVC1dm,Văn Mai Hương,507583,54,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",https://open.spotify.com/artist/63SNH9m8M034lCGELVC1dm,https://i.scdn.co/image/ab6761610000e5ebbae0a409d0f24e971ad52f1d
1Qia4CTwh6x0CZbD0079zi,CoolKid,166357,54,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/1Qia4CTwh6x0CZbD0079zi,https://i.scdn.co/image/ab6761610000e5eb2855aefc6cdea30df884e6e2
7MtgS1BXZAtslgSSTpdikk,CODYNAMVO,11236,54,v-pop,https://open.spotify.com/artist/7MtgS1BXZAtslgSSTpdikk,https://i.scdn.co/image/ab6761610000e5eb91d228e18e2fd71f046fcb87
5sK9cYMRqNOdY9Og2DKAgs,H2O Remix,122295,54,"vinahouse, v-pop",https://open.spotify.com/artist/5sK9cYMRqNOdY9Og2DKAgs,https://i.scdn.co/image/ab6761610000e5eb11d0c44719cdfe387924215d
4zg9WrDAFl1dGh2eSWLnOG,Dfoxie37,17448,54,"vietnam indie, vietnamese hip hop, v-pop",https://open.spotify.com/artist/4zg9WrDAFl1dGh2eSWLnOG,https://i.scdn.co/image/ab6761610000e5ebea4b4ff79465a25678b33d86
