file_name,spotify_track_id,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio
tôi vẫn đợi em nơi hẹn cũ - hà anh tuấn.mp3,1pkNQbsLmyNfaID7IUGLbw,373.77,123.05,B:min,0.118424,1426.03,0.6321,9.9571,-8.5825,10.9592,-3.0403,8.9254,-3.9758,8.4091,-208.8646,109.0037,128.7477,35.0106,12.1472,23.8543,20.2166,15.7144,7.937,14.4992,-0.9532,12.3004,-3.8803,12.8889,-0.6675,11.006,-14.5278,11.9957,0.05734,2812.78,21.62,18.03,22.46,20.58,19.6,20.19,48.04,0.015641,1.0528,1.63,0.9553,0.2351,0.3224,0.2939,0.2274,0.3046,0.2534,0.396,0.251,0.1951,0.259,0.264,0.4131,0.1759,-0.2179,0.0568,-0.0768,0.0165,-0.0066,4.0323
cấm đoán - bùi lan hương.mp3,1PnZZGdDCWditjccwXj18s,259.53,172.27,A#:min,0.19624,1745.72,1.8932,11.2956,-13.109,9.4608,1.5883,8.5651,-5.3124,7.3997,-114.0332,106.8725,117.8753,38.2637,-5.4715,18.6747,26.5765,12.8315,0.2806,10.859,5.2614,12.8812,6.4858,10.3928,-1.6208,9.9823,-4.2091,8.2,0.070263,3722.9,23.85,19.13,20.77,20.94,20.31,22.06,48.5,0.013196,1.0274,2.34,0.9711,0.3436,0.3786,0.2729,0.3638,0.2729,0.4566,0.2215,0.2314,0.3226,0.2676,0.4278,0.2433,-0.2923,0.0145,-0.0263,-0.0735,0.0056,0.0028,4.5779
cưới anh đi - 2t.mp3,1PsXeN22Shjc6n4msgmtno,233.42,92.29,C#:maj,0.091366,2182.63,-2.6345,11.8574,-4.9759,9.9375,-0.8151,10.2725,-0.8588,10.2906,-182.5507,109.4152,101.5108,42.9908,11.0641,28.4946,11.6191,17.1477,5.5315,15.3229,0.1189,15.2037,-5.7332,13.3994,-2.1735,15.3177,-10.515,12.1492,0.081027,4835.65,21.55,16.53,20.31,19.16,19.05,17.98,46.72,0.019062,1.5278,3.1,0.9762,0.4144,0.5274,0.291,0.339,0.239,0.345,0.265,0.2474,0.4039,0.2557,0.3192,0.236,-0.1843,-0.0339,-0.1114,0.0274,0.0003,-0.0002,2.2411
sắc màu thư pháp - tùng dương.mp3,1psjVN0tHKpWgMNYcEk6Pv,374.91,152.0,D#:maj,0.273106,1899.22,1.2156,10.199,1.0366,10.0202,1.5892,9.7726,-4.6956,9.456,-81.179,118.4858,101.6027,33.9797,3.5073,18.7599,30.4804,16.9277,-4.5361,13.9819,8.1197,11.2668,-5.0923,11.9424,2.9244,10.9328,-4.5188,10.4863,0.075032,4083.6,20.51,17.13,21.52,20.4,20.0,19.13,49.96,0.01619,1.1837,2.05,0.9595,0.304,0.2979,0.2782,0.4223,0.277,0.3387,0.2824,0.2513,0.2779,0.2147,0.3496,0.2211,-0.2137,0.0614,0.0211,0.0216,0.01,0.0196,3.7431
đời có bao nhiêu ngày vui - phạm hoài nam.mp3,1puffqv4raJbcopgQNXIoJ,303.92,123.05,D#:min,0.207365,1457.76,-4.9152,10.4081,-1.5415,9.8413,0.796,9.2519,-2.5597,10.1158,-139.0973,103.4354,130.9037,36.1184,9.6231,22.193,21.4049,15.9438,0.3604,13.5016,2.1914,10.9408,-2.9873,10.4345,3.848,10.3221,-6.0688,11.4299,0.056543,2928.89,20.83,17.56,21.49,20.51,19.68,19.06,49.4,0.012155,1.1254,2.5,0.9479,0.2059,0.2382,0.2524,0.3687,0.2604,0.3355,0.2977,0.2017,0.24,0.2582,0.4176,0.2819,-0.2124,-0.0138,0.0417,-0.0624,-0.0032,0.0101,3.7897
để em được thương chính em - phương phương thảo.mp3,1PVaQBFlw0uKaufcuKeAHZ,338.0,143.55,C:min,0.166198,1728.77,6.4843,10.0586,-9.7463,10.2631,-4.0066,9.354,-5.9356,10.1663,-160.0215,94.2715,116.2861,41.2169,15.4919,21.4699,18.4174,20.033,7.4132,14.1285,5.7686,12.9101,3.48,12.0047,-1.1007,10.8711,-7.6028,11.2613,0.068111,3667.43,21.37,18.93,22.91,22.44,22.61,21.52,49.86,0.008385,1.1639,1.65,0.953,0.286,0.1891,0.2774,0.2947,0.1927,0.2897,0.2439,0.4158,0.3178,0.2024,0.2509,0.2168,-0.0313,0.3154,0.1023,0.0297,-0.0004,-0.0085,4.3126
muốn cưa được em - freaky.mp3,1pWRKKeB7gBaIn44EW9H9U,170.4,99.38,G:min,0.155298,2341.09,7.3348,13.1739,-6.8716,10.2995,-1.9607,10.5563,-0.9928,10.2708,-117.7855,117.7627,93.7547,39.2851,-2.0672,29.0975,12.576,23.7634,-3.1252,17.7865,-9.0403,17.1655,-4.6826,15.3534,4.722,13.862,-9.6545,13.7342,0.104793,4864.31,20.59,17.38,18.91,18.81,18.9,19.78,48.91,0.026283,1.7445,4.01,0.9679,0.3823,0.3202,0.4969,0.2595,0.232,0.3567,0.3067,0.432,0.327,0.4015,0.4071,0.3058,0.0674,0.1714,0.0406,-0.1021,0.0044,-0.0138,1.3676
phuc sinh cypher 4 - pain a.k.a dai ca p.mp3,1PVjn6JxIqCRHsZam6iAZ7,427.8,143.55,G:min,0.225311,2176.27,0.9218,11.6496,-0.5691,12.1036,0.5885,11.1164,2.0264,10.6187,-102.813,78.4361,97.929,40.5259,6.9392,35.268,16.7473,24.1525,14.7917,23.1131,-0.1309,19.6642,-5.9847,15.8872,4.6516,15.1283,-6.9991,14.5792,0.079976,4702.23,22.22,15.99,19.25,17.74,18.58,18.68,46.95,0.01694,2.0628,5.07,0.9552,0.3947,0.3815,0.481,0.4171,0.3591,0.3832,0.4014,0.4796,0.435,0.375,0.3571,0.3521,0.0079,0.0957,0.1547,0.0492,0.022,-0.0493,1.6957
mưa gió muôn trùng - hien thuc.mp3,1PwSehVvxmP0jLbSpXBFgg,250.27,99.38,E:maj,0.127068,2778.12,0.186,11.1906,-11.6197,9.4258,-4.483,10.1469,-9.5242,9.2872,-161.7371,88.9112,71.1316,31.5095,39.5668,19.1775,18.2558,16.1719,-0.647,11.9716,9.9246,12.9824,1.3253,10.4454,-6.0684,13.3085,-4.092,11.7313,0.101903,6564.4,21.21,18.59,21.85,21.42,20.8,19.83,49.7,0.017919,1.2786,2.53,0.9356,0.1873,0.2035,0.1665,0.2742,0.4282,0.2599,0.3502,0.2492,0.3327,0.2263,0.1875,0.2883,0.0192,-0.3033,0.0301,0.1632,-0.0007,-0.0219,3.7706
[ người - ngựa ] (feat. voltak) - rap việt.mp3,1PYRKUqYHGMRA1EjPOxOUc,180.6,143.55,C:min,0.253175,2125.04,2.0615,10.9126,-4.8313,10.4668,2.5337,9.7373,-3.2241,9.3263,-74.8407,94.1614,98.5109,37.5175,4.6184,27.8151,14.5097,20.5889,-1.3708,17.1444,3.6956,17.4691,-6.795,15.3095,2.9827,12.8452,-8.1929,12.4629,0.08052,4512.33,18.26,15.12,17.86,17.04,17.24,17.41,48.96,0.019479,1.824,3.85,0.9686,0.4358,0.3982,0.4375,0.4406,0.3579,0.3508,0.342,0.4456,0.4314,0.3779,0.3766,0.37,-0.0373,0.1231,-0.0296,0.1385,0.0188,0.0468,1.8293
chàng khờ thuỷ cung (feat. negav & grey d) - anh trai say hi.mp3,1pwyiEOvhXLvlpzTZcgfhe,337.41,152.0,A#:min,0.190966,1909.55,6.7921,12.1606,-4.889,9.7025,-0.156,9.9237,-1.989,9.6881,-127.2886,103.929,101.6811,31.1239,4.5239,30.1359,22.3746,19.317,16.392,16.0687,1.5835,14.8819,-1.5556,12.8732,6.9635,12.5918,-2.795,12.8926,0.071278,4009.14,23.25,18.26,21.4,20.33,19.46,18.65,48.9,0.009575,1.4641,3.2,0.9549,0.3004,0.4504,0.274,0.3036,0.2695,0.3935,0.3212,0.2652,0.3822,0.333,0.3897,0.2659,-0.1805,-0.0315,-0.0402,-0.0547,0.0079,-0.0154,2.8192
bức thư cuối gửi anh (feat. bạch khổng tước) - the masked singer.mp3,1PzPWk1JuNpsTEHaKRfAxY,289.76,129.2,G:maj,0.164908,1523.09,5.1291,12.8344,-8.7254,9.2539,-0.2577,9.6726,-4.8497,10.3236,-173.0257,130.275,121.0731,34.7475,15.0882,22.7439,23.617,16.6059,5.2735,11.6511,2.0634,10.8504,0.4808,9.7499,1.2944,11.6528,-5.1277,11.36,0.064056,3078.58,20.81,17.52,22.68,22.09,20.95,20.32,49.38,0.005566,1.0508,2.45,0.9533,0.2862,0.1875,0.2928,0.195,0.1699,0.1422,0.276,0.4696,0.2789,0.3945,0.2504,0.3331,0.2837,0.0922,0.1352,-0.0168,0.0098,0.011,3.6931
một thời đã xa (moodshow the 2nd show) - bảo anh.mp3,1Q5L9ZekKDUCdz4Bj3cTND,219.23,80.75,E:min,0.20576,1236.96,0.5364,10.8397,-5.9323,10.2456,-2.3404,10.2836,-2.3908,9.4489,-176.4277,75.2538,140.5179,39.5915,16.4881,23.689,17.6021,19.5067,5.725,15.5216,-3.1563,14.987,-7.1295,13.0354,-8.4459,12.8019,-5.9333,11.7667,0.044391,2330.51,18.85,19.92,23.12,21.3,20.54,19.54,46.86,0.002554,1.3812,3.46,0.96,0.2442,0.1542,0.243,0.2875,0.4721,0.2705,0.3416,0.3176,0.1764,0.2737,0.2071,0.3491,0.2413,-0.0938,0.0745,0.04,0.0218,0.002,3.0753
say bye! (feat. pháp kiều & dương hoàng yến) - rap việt.mp3,1q83e1qvjHBPCgOvdGSKZ0,203.08,129.2,G#:maj,0.304958,2729.67,9.5548,9.69,-1.5582,8.6879,2.2859,8.3524,3.3756,8.7509,-4.6681,108.7746,73.9704,28.4501,-4.5649,21.241,18.8867,17.3187,0.6349,14.7698,6.2995,12.9411,-3.8683,11.2009,9.2122,11.4389,-7.9313,11.8993,0.119958,5857.43,18.66,15.07,18.29,17.28,17.14,17.56,49.01,0.037572,1.4668,4.16,0.9733,0.3164,0.3254,0.3314,0.4754,0.3066,0.29,0.3351,0.3857,0.5597,0.4409,0.5006,0.4076,-0.2022,-0.0854,0.0419,0.0908,-0.0211,-0.0144,1.9088
all them pretty girls - thaison!.mp3,1qbTkeAwlgJhmRd9QRvnfb,168.74,92.29,C#:min,0.146658,1531.19,-0.1082,12.6938,-7.6172,12.4654,1.3215,13.4223,-4.1331,11.3222,-190.9539,99.7566,120.5109,41.8182,10.41,26.8928,19.1335,22.084,8.3557,18.1921,-3.7055,17.2333,-3.6907,16.2719,-3.5353,15.3246,-5.9069,11.9716,0.051279,3106.68,22.33,16.71,19.9,19.08,18.76,19.13,48.12,0.0179,1.6958,4.3,0.9664,0.42,0.464,0.3538,0.3996,0.368,0.3218,0.3813,0.4114,0.526,0.4145,0.3832,0.4018,0.0133,-0.0624,-0.0293,0.0299,-0.0348,-0.0069,2.4367
giữ anh đi - lê hiếu.mp3,1qDSb4Mj8XcVzsBEbvIf9o,314.53,152.0,D:maj,0.098086,1733.24,2.048,10.6797,-7.9567,9.3622,-2.4655,9.2368,1.1523,8.3738,-206.8869,99.8219,117.8732,35.2629,18.7639,18.2391,14.5945,18.2338,4.2761,13.4237,1.809,9.6433,1.2202,9.6705,1.936,9.7222,-8.9554,11.5274,0.068475,3665.19,20.44,18.06,21.65,20.89,20.6,20.57,46.65,0.010963,1.0803,1.71,0.9571,0.1737,0.3149,0.4542,0.2873,0.3518,0.2307,0.3393,0.2649,0.2304,0.4006,0.2307,0.2546,0.2744,-0.0629,-0.0275,-0.1003,-0.0018,-0.0045,4.1797
điều tiếc nuối - nit.mp3,1QdshsreCPjC2ArnztwNyr,313.85,78.3,C#:maj,0.11576,1647.41,1.6713,10.7476,-4.5898,9.3605,0.6736,9.8173,-4.6262,9.631,-196.729,118.2196,115.5174,36.0286,-0.5711,20.4806,24.8431,17.2499,6.8793,13.4042,-2.067,13.2252,-3.3229,10.4919,-0.704,10.3988,-5.8578,10.5192,0.06992,3283.57,21.66,18.79,22.27,20.84,20.51,20.14,48.48,0.014838,0.9604,1.57,0.9599,0.2828,0.3394,0.2238,0.2743,0.2559,0.355,0.3026,0.2439,0.3357,0.2825,0.268,0.1985,-0.2001,-0.0134,-0.1052,0.0253,-0.0149,0.0042,4.2384
xem pháo hoa - vũ thanh vân.mp3,1qE9pqh2G4RmmBwUgoKL2h,211.51,89.1,C#:maj,0.164641,1931.28,-8.2653,10.0797,-22.5858,10.1908,-10.9168,8.8295,-11.4859,9.4193,-153.0257,106.7767,104.9185,32.8145,12.6322,19.5385,7.6983,22.0199,4.5463,14.3897,-10.231,14.2178,-2.9545,12.1295,-17.7115,12.483,-6.2121,10.506,0.065456,4262.93,20.46,20.8,23.01,22.03,21.62,20.36,47.05,0.01419,1.2384,2.38,0.9525,0.3795,0.5087,0.2285,0.2934,0.15,0.1884,0.1694,0.1764,0.3036,0.2015,0.3001,0.194,-0.3459,-0.0556,-0.0983,0.0533,0.0444,0.0083,4.3193
một năm đã qua - văn mai hương.mp3,1qE4B5JwDQ77q8fdKb8bod,259.66,136.0,D#:maj,0.16991,1954.52,3.3532,12.8541,-13.2507,11.8828,-4.3944,11.1841,-7.3723,11.0156,-156.7618,132.8894,103.746,32.4449,16.0399,23.9504,5.9103,18.2616,4.6698,12.803,-2.2216,13.6467,-0.8788,13.0158,-3.845,12.625,-7.965,11.8232,0.079923,4224.85,20.05,18.51,22.44,22.61,20.82,19.76,48.59,0.010406,1.1268,2.39,0.9559,0.2807,0.23,0.2103,0.317,0.169,0.1944,0.1317,0.2642,0.3441,0.2472,0.3258,0.1893,-0.2227,0.1321,0.0514,0.0742,0.0172,-0.0018,2.9658
em nhớ anh rất nhiều (feat. orange) - our song vietnam.mp3,1QFBWk6yPmnBQfBs3IoYZo,128.79,117.45,F#:min,0.215407,2285.27,-0.0899,9.0521,-7.9914,8.2832,0.4006,8.7039,-7.2249,9.0605,-81.3569,105.5138,92.5656,33.5129,-1.4108,23.3348,14.8713,15.145,-1.6618,13.738,-5.4644,13.6906,-1.6769,10.184,-5.0724,12.1763,-4.5411,9.9667,0.096556,4815.82,21.12,17.14,20.56,20.41,19.78,19.99,48.37,0.017654,1.3181,3.06,0.9591,0.1803,0.3055,0.3407,0.2466,0.3487,0.2543,0.4671,0.2758,0.194,0.3056,0.1906,0.2342,0.1793,-0.1235,-0.015,-0.1028,0.0118,0.0237,2.6686
là tại anh sai - châu khải phong.mp3,1qF0Bx011bmZoYA6OJFW9L,283.37,129.2,G:min,0.257331,2040.35,3.269,12.1274,-5.0461,9.9627,1.6251,9.611,-0.6557,9.8934,-93.7627,111.1806,101.8933,33.153,23.0652,22.6746,19.0701,21.6646,5.2552,15.743,3.7348,13.1951,3.299,12.4551,2.4708,10.5612,-4.9826,11.8547,0.074687,4633.25,20.63,16.19,21.14,20.42,19.23,19.04,48.08,0.013931,1.2366,2.33,0.9643,0.394,0.2613,0.3489,0.3416,0.2381,0.3093,0.269,0.4079,0.2648,0.2772,0.412,0.2963,-0.0704,0.2329,0.1081,-0.0144,0.022,0.0002,2.6433
gonna be you - linh ka.mp3,1qGD0pluRScUcMhojxeyrk,258.46,136.0,C#:maj,0.166783,2170.8,3.6354,10.4497,-7.0539,8.6183,0.0624,9.2853,-5.2696,9.2117,-114.5265,83.7936,93.6447,24.2118,15.3807,26.1181,14.2854,19.805,11.7293,12.7009,10.8151,13.4654,1.3454,10.9928,6.7431,10.3965,-2.2171,10.238,0.06994,5097.02,22.06,17.55,20.35,19.4,19.35,17.77,47.65,0.012074,1.378,3.03,0.9674,0.2887,0.3511,0.3121,0.3282,0.2729,0.3403,0.3249,0.2587,0.3468,0.3057,0.2746,0.2272,-0.1185,-0.05,-0.0573,-0.0245,-0.0041,0.0059,2.7583
thợ rap - freaky.mp3,1qHz0FIhpluKwmwDtHlLzf,207.43,136.0,D:min,0.325944,1977.44,13.4785,10.673,3.0171,10.0846,8.9644,9.4825,5.8659,8.752,-85.6736,93.8156,88.9174,33.5726,9.6818,25.9555,37.1195,19.0725,11.2061,16.9433,11.5305,16.108,10.2114,14.5254,10.2406,10.7913,-1.6044,11.6443,0.045865,4447.78,22.88,14.87,18.02,16.65,16.96,18.54,48.63,0.009729,2.1743,5.01,0.9696,0.4801,0.4997,0.5684,0.5687,0.605,0.6022,0.5205,0.4967,0.5116,0.5627,0.5397,0.4939,0.1223,0.0689,-0.0602,-0.1892,-0.0597,-0.0323,3.4929
thú vị hơn vậy - (s)trong.mp3,1qiVfe0m4VP5Dx48R0Eyxe,193.45,117.45,A#:min,0.243807,2767.64,5.0683,10.1333,-2.349,9.4901,0.6021,9.0591,-3.3043,9.0226,-50.7815,100.0819,68.9228,29.2565,7.3332,20.7744,16.4117,20.2474,-1.3228,16.6957,7.5787,13.5743,-2.2139,11.9551,1.6381,11.5717,0.7213,10.1254,0.105088,6083.74,20.44,15.73,18.39,17.68,17.32,16.51,47.18,0.038701,1.685,3.92,0.9744,0.3467,0.428,0.3618,0.4436,0.3456,0.4152,0.3454,0.3131,0.3784,0.3539,0.4846,0.3193,-0.1084,-0.0079,-0.0218,-0.0459,0.0174,0.0089,1.5177
giấc du miên - 2pillz.mp3,1Qk9TL0ZClBUWRZnOQS1S9,291.57,123.05,C#:maj,0.210485,2522.29,2.4406,13.4114,-5.6197,12.3813,1.7345,11.7214,-4.8875,9.8734,-89.4432,71.0184,79.8003,32.8545,13.0223,28.1966,19.6215,19.8985,8.3414,17.8165,6.3605,15.4887,-0.0944,16.8607,1.9636,14.7052,0.0983,13.1715,0.088407,5823.86,21.25,17.74,20.06,18.89,18.74,17.78,48.13,0.021121,1.4788,3.23,0.9712,0.2493,0.3165,0.2807,0.3673,0.3208,0.5007,0.4647,0.2919,0.3593,0.3147,0.3867,0.292,-0.1957,-0.0684,-0.0329,-0.0462,-0.0127,-0.0025,2.8131
gói nắng mang về - hoàng dũng.mp3,1qQWSDfd00kQgeKkM6b8Zt,279.27,112.35,A:maj,0.253716,2090.49,5.9803,10.3379,-1.1857,9.0532,0.5219,7.7916,-4.6834,8.151,-74.8902,108.212,96.9235,30.9178,4.5222,20.3676,22.4558,15.0155,7.2363,12.3464,4.8913,11.8557,0.1964,9.9362,6.8274,9.8161,1.621,8.6519,0.08005,4628.06,19.41,17.25,20.32,19.66,18.97,17.78,47.73,0.015403,1.3378,4.59,0.9716,0.2641,0.3832,0.2979,0.2643,0.367,0.2619,0.3267,0.2357,0.3628,0.3792,0.2777,0.3754,0.0875,-0.1588,-0.1013,-0.008,0.0004,-0.0193,2.0542
ngày mùa đông - chillies.mp3,1Qu8DkWAMnAOOZ1b3FfOBb,271.84,99.38,G#:maj,0.242018,2459.07,6.1752,10.2107,-0.6893,7.3843,5.6156,6.2035,-1.0238,6.1945,-17.0935,94.6096,83.3049,24.3299,-8.9039,19.1397,30.8095,11.2357,5.6695,9.2297,9.6483,12.5929,-2.2112,7.6186,6.2543,8.0097,-0.245,8.4935,0.11818,5225.99,17.11,15.78,18.72,17.9,17.95,17.2,48.53,0.031928,1.0896,2.62,0.9562,0.413,0.3456,0.36,0.5505,0.3426,0.3809,0.3202,0.4626,0.587,0.3781,0.4224,0.3173,-0.2008,0.0384,0.0371,0.0709,-0.0057,-0.0098,1.6971
dắt mẹ đi khắp thế gian - nguyen van chung.mp3,1quZH584Z2E3pYwYwuUdpI,300.06,117.45,C:min,0.159583,1638.65,5.0858,13.3311,-12.5902,10.8612,0.4623,10.749,-2.6671,10.0179,-166.4133,106.4316,124.6804,33.339,19.446,18.1123,3.6155,17.6327,4.9161,13.3413,2.89,12.9972,-1.3473,12.6298,-3.396,12.0375,-6.1292,10.8288,0.069741,3308.57,19.43,18.76,23.37,23.3,22.47,20.46,49.8,0.008354,1.06,2.14,0.9545,0.3777,0.1894,0.2853,0.2757,0.17,0.3152,0.1907,0.3445,0.1879,0.145,0.2728,0.2008,-0.1201,0.3537,0.0825,0.0777,0.0054,0.0089,4.8119
toan tính - 1ng.mp3,1qW9bc9nRRsxkdvkFeQKRY,184.37,143.55,F:maj,0.224089,2206.27,3.2801,8.654,-0.8237,8.7491,2.6798,7.8827,-2.3371,7.6836,-104.145,112.9721,94.289,34.0413,17.8125,20.2073,16.2809,15.5855,9.0895,14.2086,7.9842,13.0168,0.6337,11.1128,6.2315,10.7784,-2.3827,9.2804,0.072508,5059.32,20.98,15.35,18.3,18.55,18.03,17.58,47.28,0.017923,1.4057,4.16,0.9639,0.5381,0.3624,0.3656,0.3106,0.4217,0.4664,0.36,0.4868,0.4046,0.4974,0.4218,0.4119,0.0402,0.1943,-0.0397,-0.0511,0.0231,-0.0036,2.5863
cơn mơ ngọt ngào - thiều bảo trâm.mp3,1QxbYs1KnOGXkiLT2epiR6,234.41,117.45,F:maj,0.207138,2508.0,3.7109,10.27,-11.0881,9.9803,-2.3505,9.0183,-6.3998,9.9892,-53.618,94.9463,85.0297,27.9598,1.2794,19.9766,17.82,15.4963,-1.3799,12.5093,5.3917,13.1385,2.7587,10.6174,-2.5385,11.7133,1.2815,10.7417,0.112021,5402.74,18.78,14.49,19.56,19.66,19.47,19.06,48.07,0.024807,1.3928,4.58,0.9807,0.3879,0.2998,0.3126,0.2137,0.2573,0.3435,0.2848,0.3945,0.3225,0.4354,0.386,0.2973,0.0428,0.1351,-0.0728,-0.0039,0.0082,0.0128,1.8793
long time no see - j.key.mp3,1QxIuC08mjHD10O1RycXau,195.2,161.5,C#:min,0.147879,2050.15,5.4123,10.8837,-5.2926,9.0318,1.8645,10.5789,-0.6928,8.9516,-122.1582,85.2823,111.9056,34.4822,10.0351,28.3226,-1.0365,20.2644,5.5102,17.0466,-1.477,15.0622,-3.8817,12.3771,2.6438,11.5621,-12.1444,12.7995,0.079649,4473.07,22.42,16.12,18.89,18.87,18.98,18.82,47.77,0.013815,1.6595,3.97,0.9634,0.3961,0.6816,0.4239,0.3643,0.3972,0.2684,0.3036,0.2462,0.4063,0.4051,0.2783,0.3421,0.0551,-0.1325,-0.1285,-0.0542,0.0013,-0.0384,1.5204
dream soldier (feat. voltak) - rap việt.mp3,1QYUaTLOIb0bkHGWn42waA,265.84,143.55,F:min,0.219507,2734.68,-2.0692,11.3223,-2.2148,10.6958,0.822,10.8048,-1.9256,9.8874,-73.985,115.586,73.8402,41.5084,11.1332,32.3605,20.9786,22.2336,6.0046,20.1386,4.7563,18.1767,-3.6353,16.6402,5.6093,14.9321,0.4608,11.4509,0.121851,5705.88,18.12,14.34,17.79,17.42,17.26,17.1,48.33,0.041133,1.7086,4.31,0.9414,0.4327,0.4489,0.3879,0.3838,0.3906,0.3947,0.411,0.5046,0.5646,0.4543,0.423,0.4308,-0.0319,0.0227,-0.0058,0.0954,0.0133,-0.0038,1.4442
yêu đơn phương - remastered 2021 - only c.mp3,1qz0fXzHNKGjJKaAA9apX2,270.01,152.0,D:maj,0.173553,2208.83,6.9157,10.1922,-3.7342,9.876,-6.0129,9.7373,-4.3746,9.004,-114.3457,90.2448,92.4113,30.2146,14.1436,19.5441,28.2447,16.6867,13.044,13.3912,2.844,12.4091,2.1661,11.1856,5.2708,10.5207,-4.8446,9.7469,0.079774,4933.91,21.22,16.46,20.01,19.63,18.81,18.8,47.01,0.017777,1.5866,3.88,0.9688,0.246,0.271,0.3827,0.3638,0.3945,0.3705,0.3739,0.3695,0.3406,0.3756,0.3325,0.2841,0.0888,0.0094,0.0136,-0.0149,0.0016,-0.0068,1.9735
gã trai mơ - nguyễn trung đức.mp3,1R2CGVLsCsZyVEK8a2IrXW,165.11,107.67,F:min,0.176642,2057.04,1.3988,10.3445,-6.1843,9.5897,1.9708,10.4508,-2.3186,9.7405,-120.2338,99.7183,98.5447,32.7283,-2.8477,19.5403,3.3193,19.6436,-4.2039,15.3206,-0.7905,13.6402,-8.1863,12.9272,-0.8278,12.1799,-7.3526,10.9077,0.073495,4465.36,20.93,16.86,18.04,17.84,18.13,17.07,49.01,0.015669,1.3352,2.72,0.976,0.4133,0.3773,0.2381,0.2938,0.2842,0.4023,0.2316,0.2669,0.39,0.408,0.4949,0.3406,-0.1434,0.0596,-0.0684,-0.0389,0.0081,-0.0158,2.609
"tâm trong tim (feat. wowy, blacka) - rap việt.mp3",1r38puxDo8lw7QBXoc6yc4,218.92,136.0,D:min,0.135403,2526.52,5.1547,9.6237,0.3263,10.4882,2.2792,8.6978,-3.9347,9.1277,-103.9542,102.1966,82.9051,27.511,-4.9216,20.524,15.2536,18.4203,3.497,16.0065,6.664,13.9424,-1.9155,10.9469,6.9833,10.0448,-2.4159,12.0794,0.113251,5386.95,20.39,17.04,19.01,18.39,18.82,18.6,48.96,0.026051,1.4371,3.82,0.9746,0.3724,0.3113,0.3118,0.2637,0.3312,0.4346,0.3295,0.3669,0.3656,0.4549,0.3666,0.3172,0.0635,0.128,-0.1631,-0.0818,-0.0235,-0.0115,1.7564
thích ca mâu ni phật - phương mỹ chi.mp3,1r6aRoBbJfn6SyKnC63Cpk,260.33,61.52,E:min,0.123939,2038.36,-1.9597,11.383,-9.3285,12.7308,-10.6065,10.5499,-4.1984,8.923,-162.5339,83.6239,95.4677,31.2386,14.9684,23.4185,21.1638,17.2249,-11.6708,15.9427,11.7672,13.6213,-2.5561,10.6948,3.6874,10.5704,-11.3102,9.7119,0.073515,4568.12,21.65,21.01,23.0,20.47,19.75,19.05,50.35,0.010541,1.0701,1.39,0.9679,0.1306,0.1637,0.3605,0.3199,0.4317,0.2497,0.2398,0.4331,0.2845,0.2471,0.2311,0.2417,0.1302,0.0943,0.116,0.0947,0.0185,-0.0734,6.1577
rời (feat. hằng bingboong) - trung quân.mp3,1r6MUqdEcizBoatVmdPTsA,240.54,129.2,G:min,0.212663,2235.8,14.6018,10.2964,0.5168,8.6038,3.2777,9.2652,0.8555,7.9687,-75.3745,96.5518,89.1033,24.4309,-2.4043,17.9481,19.0684,16.1529,0.6304,12.7932,13.4665,12.5315,3.843,9.6699,3.6808,9.9915,2.9934,9.6012,0.088086,4901.42,20.13,15.43,19.05,18.72,19.61,18.16,48.99,0.025997,1.3331,3.33,0.973,0.3087,0.2672,0.4001,0.2976,0.2881,0.3626,0.3282,0.4957,0.3255,0.3889,0.3798,0.2735,-0.0127,0.2039,0.0621,-0.0319,-0.0059,0.0026,2.5831
