file_name,spotify_track_id,duration_sec,tempo_bpm,musical_key,rms_energy,spectral_centroid_mean,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,zero_crossing_rate,spectral_rolloff,spectral_contrast_band1_mean,spectral_contrast_band2_mean,spectral_contrast_band3_mean,spectral_contrast_band4_mean,spectral_contrast_band5_mean,spectral_contrast_band6_mean,spectral_contrast_band7_mean,spectral_flatness_mean,beat_strength_mean,onset_rate,tempo_stability,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz6_mean,harmonic_percussive_ratio
chờ anh về - b ray.mp3,2hdM9PuIIawzQCC5nKGsIO,214.16,129.2,A#:maj,0.196219,2318.82,0.258,12.6918,-4.4796,12.1061,-2.48,9.501,-3.6334,10.0776,-120.7707,99.0964,86.6444,40.9724,14.4943,29.1558,21.4242,21.3189,4.9764,14.9919,5.3355,17.4983,0.9099,14.5638,0.6517,15.7907,-0.0064,14.2124,0.075577,5073.31,21.55,18.73,20.18,19.46,18.66,17.8,46.4,0.019663,1.5622,3.29,0.9633,0.4456,0.3173,0.2773,0.3746,0.3057,0.413,0.2787,0.3369,0.3996,0.3666,0.5114,0.3639,-0.2997,0.2108,-0.0062,-0.0767,0.0247,-0.0034,2.5686
chờ một người (feat. gill & captain) - rap việt.mp3,4QkTMKgtkI6P9v9NRzSswS,259.01,117.45,D#:maj,0.18184,2266.04,7.0583,10.4602,-3.4201,10.5433,1.078,9.781,-0.7263,9.8072,-95.5447,115.9514,97.791,38.1409,5.0146,24.2167,15.5598,16.8727,0.7486,16.607,0.598,15.0263,-0.7052,12.6754,0.1458,11.7304,-8.9077,13.8773,0.10343,4749.86,20.07,15.88,19.48,18.76,18.89,19.34,48.19,0.02264,1.5054,3.64,0.9439,0.3612,0.2638,0.2923,0.3954,0.2856,0.3813,0.2732,0.3377,0.3679,0.3501,0.461,0.3114,-0.1922,0.1288,0.0149,-0.0034,-0.0045,0.0041,1.7416
chờ trong trăng - wren evans.mp3,0cA80rjlWyN7iF8qDjYQeq,184.75,129.2,G:min,0.197839,2496.27,4.0329,15.6119,-3.9893,11.8514,-0.5659,11.2606,-2.9879,10.8942,-145.3201,83.5628,77.5744,36.954,34.7339,25.1617,16.9968,20.1445,10.7752,20.3574,7.0726,19.8006,-3.3888,15.2011,-1.8369,15.2006,-7.7126,13.8013,0.078965,5857.51,22.32,18.76,21.46,19.19,19.66,18.41,48.37,0.016247,1.4122,3.44,0.9593,0.3698,0.3135,0.3746,0.3783,0.3319,0.3771,0.3489,0.4389,0.3885,0.3431,0.3955,0.347,-0.0847,0.0871,0.0471,-0.0052,-0.0019,-0.0164,2.8682
chợt nhìn nhau - vũ..mp3,0OFfNvr1GufcoJwFufmwOV,104.74,136.0,C:maj,0.146166,1542.53,1.9116,8.9448,-11.8488,9.3148,0.3041,8.4675,-11.2235,9.3172,-161.3255,72.5354,121.6123,29.6394,3.5077,17.5817,27.459,14.9947,8.128,14.6782,-0.6178,11.4277,-3.3,10.2556,-4.9951,10.0839,-3.1818,10.7838,0.054571,3127.83,22.96,18.65,22.23,20.96,20.57,21.21,49.22,0.007421,1.1533,3.35,0.955,0.4119,0.2573,0.3577,0.2607,0.3743,0.3011,0.2445,0.371,0.231,0.2198,0.1672,0.3228,0.2001,0.2608,0.0292,0.1289,-0.0141,-0.0229,4.8608
con chuồn chuồn - hoàng duyên.mp3,4nK8Adwz5bjpoVgsSy0DtQ,13.13,107.67,C:min,0.118312,2060.09,1.0325,8.5521,-10.1511,11.2991,7.3612,9.0549,6.0053,8.0862,-204.9957,157.4117,115.7883,57.7271,-9.3997,17.6784,13.8198,15.7136,16.6764,12.7206,-0.9824,9.771,1.1166,11.6016,12.3061,12.2007,-2.7176,9.8861,0.101258,4005.18,21.91,16.72,21.69,23.11,22.13,21.54,49.32,0.006358,1.1201,2.06,0.9558,0.5342,0.2655,0.3761,0.2844,0.1353,0.2005,0.1864,0.5121,0.3209,0.2745,0.5096,0.3508,-0.0793,0.3171,0.1972,0.0747,0.0673,-0.022,5.5074
con cá nhỏ - mer.mp3,0dhUqfvzn2J2M3RdzHkTJ8,9.26,198.77,D:maj,0.02334,2953.14,-5.8818,10.243,-20.4673,21.5236,-11.8286,14.3246,-0.3494,8.8254,-500.8748,119.9631,76.407,55.7596,-12.5996,20.8642,-5.476,12.7994,-22.0853,21.8258,-29.5889,27.0837,-9.7766,17.1694,-5.9303,14.5278,-4.922,9.0162,0.242876,5064.32,14.58,20.5,21.63,24.65,23.35,26.74,48.19,0.117498,0.8093,1.4,0.9604,0.3688,0.3905,0.5428,0.4217,0.2611,0.1926,0.2338,0.3017,0.3306,0.6702,0.404,0.5519,0.3238,-0.0562,-0.0151,-0.1275,-0.0702,0.0192,10.6087
con gái rượu - b ray.mp3,7IrbUw8oZKbUn0mt0qZIMf,14.23,152.0,A#:min,0.115619,2303.9,-7.678,10.2296,-20.7678,12.3817,-11.3175,10.8163,-8.3003,7.4426,-237.1959,135.9577,99.3719,51.0099,13.1986,17.338,-4.9415,14.144,0.1721,12.5915,-13.7514,12.8522,-8.7862,10.7198,-1.523,10.3021,-20.0166,13.1045,0.121173,4569.29,19.59,19.63,21.34,21.65,20.88,19.91,49.13,0.063149,1.3734,2.67,0.9504,0.5108,0.3099,0.1979,0.2337,0.1784,0.2806,0.2555,0.1831,0.2242,0.3216,0.4655,0.3486,-0.1595,0.1527,-0.0814,-0.0282,0.0169,0.0425,5.0815
clme - andree right hand.mp3,69rrxrDnlNsrK6FyrQnDrs,91.34,129.2,C:min,0.188862,1962.46,2.1857,13.7416,-13.8091,12.554,-9.4455,10.8381,-7.784,10.2798,-123.5097,112.5555,99.8107,37.5233,-8.8706,29.5206,8.3895,21.3825,2.7492,19.0524,-2.9954,19.7644,-4.7067,14.3733,-2.3903,13.7807,-9.3582,13.4999,0.084153,3903.08,21.06,18.04,21.51,20.22,20.05,20.52,48.45,0.01267,1.4343,3.71,0.9664,0.3881,0.2594,0.3182,0.3674,0.2224,0.2937,0.2603,0.4648,0.2959,0.291,0.4228,0.2943,-0.1064,0.2046,0.1383,0.0739,0.0109,0.0045,2.0529
con người - thịnh suy.mp3,25SuMPWwaphY04iVfMRzcF,50.42,129.2,F:maj,0.075795,1303.06,-6.7476,11.0677,-16.1591,12.8482,-10.3298,9.2,-7.8465,8.8594,-290.2939,105.0879,111.3648,34.275,9.668,21.5048,36.9538,21.0166,27.135,15.9316,12.0049,14.7724,4.1202,13.5494,-2.5525,11.8284,-7.6482,9.9028,0.042387,2701.55,21.73,21.51,21.61,21.93,22.04,21.4,48.62,0.022119,1.2502,2.99,0.9359,0.2215,0.121,0.158,0.1635,0.3866,0.3678,0.1326,0.1032,0.1815,0.4034,0.4059,0.2107,0.0531,0.2393,-0.1672,-0.0502,0.0581,-0.0247,5.483
con hứa sẽ về - lê bảo bình.mp3,6Urov7c4WUKzbTmBPtKuxh,301.82,123.05,G:maj,0.161098,1677.84,1.3597,9.8334,-9.0133,8.8203,-1.6843,8.6534,-3.9212,9.3532,-166.7125,113.5071,116.2952,41.1683,21.8179,20.4725,26.5467,17.0628,10.7165,11.1976,2.6478,11.7425,1.4261,11.5708,1.2442,11.0009,-8.423,10.5043,0.066772,3575.61,21.91,18.46,22.47,21.27,20.3,19.98,47.68,0.014944,1.0261,2.37,0.9599,0.4058,0.2712,0.371,0.2252,0.2809,0.2395,0.2516,0.5225,0.2772,0.274,0.1711,0.2458,0.2471,0.2665,0.0635,0.0798,0.0082,-0.0052,4.1037
