Date,Rank,Title,Artist,Featured_Artists,Source,Duration,URL,Total_Likes,Total_Plays,chart_date
2025-10-31,72.0,Thương,Bích Phương,,ZINGMP3,03:10,https://zingmp3.vn/bai-hat/Thuong-Bich-Phuong/Z89O6CZ7.html,3000.0,279000.0,2025-12-09
2025-10-31,73.0,GÃ SĂN CÁ,EM XINH SAY HI,"Lâm Bảo Ngọc, Quỳnh Anh Shyn, MAIQUINN, Saabirose, Quang Hùng MasterD",ZINGMP3,03:53,https://zingmp3.vn/bai-hat/GA-SAN-CA-EM-XINH-SAY-HI-Lam-Bao-Ngoc-Quynh-Anh-Shyn-MAIQUINN-Saabirose/Z86C6CEA.html,112000.0,6700000.0,2025-12-09
2025-10-31,74.0,Anh Lại Say Rồi,Phan Duy Anh,T.A.P Entertainment Producer T.A,ZINGMP3,05:37,https://zingmp3.vn/bai-hat/Anh-Lai-Say-Roi-Phan-Duy-Anh-T-A-P-Entertainment-Producer-T-A/Z89I0CE7.html,11000.0,725000.0,2025-12-09
2025-10-31,75.0,Trạm Dừng Chân,Jack - J97,,ZINGMP3,03:38,https://zingmp3.vn/bai-hat/Tram-Dung-Chan-Jack-J97/Z86ID08C.html,105000.0,6600000.0,2025-12-09
2025-10-31,76.0,Cục Vàng Của Anh,Nana Liu,,ZINGMP3,03:12,https://zingmp3.vn/bai-hat/Cuc-Vang-Cua-Anh-Nana-Liu/Z87EW8AZ.html,28000.0,1200000.0,2025-12-09
2025-10-31,77.0,Một Mình Chẳng Sao,Ngân Ngân,,ZINGMP3,04:58,https://zingmp3.vn/bai-hat/Mot-Minh-Chang-Sao-Ngan-Ngan/Z898EAED.html,3000.0,192000.0,2025-12-09
2025-10-31,79.0,Peace N' Love,Low G,Mỹ Anh,ZINGMP3,03:36,https://zingmp3.vn/bai-hat/Peace-N-Love-Low-G-My-Anh/Z89EBCCE.html,64000.0,,2025-12-09
2025-10-31,80.0,Lo Người Ướt Áo,Nguyễn Thạc Bảo Ngọc,,ZINGMP3,05:01,https://zingmp3.vn/bai-hat/Lo-Nguoi-Uot-Ao-Nguyen-Thac-Bao-Ngoc/Z89DD0DE.html,3000.0,121000.0,2025-12-09
2025-10-31,81.0,Quên Rồi Khổ Đau Năm Ấy,Vicky Nhung,Đông Thiên Đức,ZINGMP3,04:58,https://zingmp3.vn/bai-hat/Quen-Roi-Kho-Dau-Nam-Ay-Vicky-Nhung-Dong-Thien-Duc/Z8UW8ZZA.html,11000.0,1700000.0,2025-12-09
2025-10-31,82.0,SAD Nhân,STRONG,,ZINGMP3,03:24,https://zingmp3.vn/bai-hat/SAD-Nhan-S-TRONG/Z88FC96W.html,1000.0,180000.0,2025-12-09
2025-10-31,83.0,Ngày Bình Thường Quên Người Mình Thương,Phát Huy T4,,ZINGMP3,04:02,https://zingmp3.vn/bai-hat/Ngay-Binh-Thuong-Quen-Nguoi-Minh-Thuong-Phat-Huy-T4/Z88C6FID.html,9000.0,678000.0,2025-12-09
