match_key,spotify_track_id,spotify_release_date,spotify_genres,spotify_popularity,best_peak_rank,total_platforms,total_appearances,Total_Streams,Total_Plays,score_rank,score_sustain,score_platform,score_historical,Base_Score,label
dungdongvainannhan||wendythao,,,,,36.0,1,17,,676000.0,1,0,0,0,1,0
cominhvata||nguyenvi,,,,,41.0,1,5,,951000.0,1,0,0,0,1,0
dungbatcongvoiemma||inso,,,,,44.0,1,2,,2400000.0,1,0,0,0,1,0
daikhaihoan||theflob,,,,,36.0,1,1,,,1,0,0,0,1,0
anhthuanguoitanhieulam||nb3hoaibao,,,,,40.0,1,2,,1700000.0,1,0,0,0,1,0
sauconsuy||rhyder,,,,,41.0,1,8,,1100000.0,1,0,0,0,1,0
gasanca||emxinhsayhi,,,,,34.0,1,10,,6900000.0,1,0,0,0,1,0
cuoichinh||nal,,,,,29.0,1,17,,1100000.0,1,0,0,0,1,0
traitimkhongcotoi||chaukhaiphong,,,,,26.0,1,16,,1800000.0,1,0,0,0,1,0
tiecchoem||rhyder,,,,,21.0,2,15,1588286.0,,1,0,0,0,1,0
roitudo||emxinhsayhi,,,,,39.0,1,1,,2200000.0,1,0,0,0,1,0
anhnhora||vu,,,,,21.0,1,9,,,1,0,0,0,1,0
tunglaboyfriendgirlfriend||min,,,,,22.0,1,7,,,1,0,0,0,1,0
chimhotbentronglaudai||lyhan,,,,,32.0,1,1,,,1,0,0,0,1,0
bongtoiyeudoi||lyhan,,,,,35.0,1,1,,,1,0,0,0,1,0
vatdoisaodoi||lyhan,,,,,38.0,1,1,,,1,0,0,0,1,0
mecung79metalrock||phuongthanh,,,,,35.0,1,1,,,1,0,0,0,1,0
tamtrilangthang||anhsangaza,,,,,40.0,1,5,7811322.0,,1,0,0,0,1,0
duyennocondau||phamvuluan,,,,,44.0,1,1,,82000.0,1,0,0,0,1,0
hoadoquyen||khahiep,,,,,38.0,1,4,,106000.0,1,0,0,0,1,0
mongtinhsi||dantruong,,,,,43.0,1,1,,29000.0,1,0,0,0,1,0
haynoianhsairoi||phungkhanhlinh,,,,,50.0,1,1,,,1,0,0,0,1,0
muoncuaanhlambo||duongaivy,,,,,23.0,1,17,,7100000.0,1,0,0,0,1,0
neunhungtiecnuoi||vu,,,,,31.0,1,9,7345562.0,,1,0,0,0,1,0
amanhveanh||phungkhanhlinh,,,,,30.0,2,3,,,1,0,0,0,1,0
haytraochoanh||sontungmtp,,,,,34.0,1,10,,,1,0,0,0,1,0
duchotanthe||erik,,,,,31.0,1,10,,,1,0,0,0,1,0
3bich||phapkieu,,,,,35.0,1,6,,,1,0,0,0,1,0
elakhongthe||anhquan,,,,,21.0,1,10,,,1,0,0,0,1,0
anhvui||phamky,,,,,33.0,1,10,,,1,0,0,0,1,0
khoalybiet||themaskedsinger,,,,,39.0,1,10,,,1,0,0,0,1,0
dieuemkhonoi||min,,,,,33.0,1,2,,,1,0,0,0,1,0
dieuemkhongmuon||phungkhanhlinh,,,,,38.0,1,2,,,1,0,0,0,1,0
neungayay||soobin,,,,,25.0,1,11,10257589.0,,1,0,0,0,1,0
anhdaquenvoicodon||soobin,,,,,43.0,2,8,9003535.0,,1,0,0,0,1,0
vutrusongsong||lyhan,,,,,47.0,1,1,,,1,0,0,0,1,0
changthecamhoa||luongquytuan,,,,,37.0,1,17,,5800000.0,1,0,0,0,1,0
docnhatvonhi||anhtraisayhi,,,,,49.0,1,1,,856000.0,1,0,0,0,1,0
griefisthepriceyoupayforlove||phungkhanhlinh,,,,,inf,0,0,,,0,0,0,0,0,0
uocanhnhieunoibuon||charmypham,,,,,inf,0,0,,,0,0,0,0,0,0
fragileintro||min,,,,,inf,0,0,,,0,0,0,0,0,0
emchisongaymai||mochiii,,,,,inf,0,0,,,0,0,0,0,0,0
xaem||thanhhung,,,,,inf,0,0,,2400000.0,0,0,0,0,0,0
forgetmenow||fishy,,,,,inf,0,0,2382182.0,,0,0,0,0,0,0
haithegioi||hoangthong,,,,,inf,0,0,,,0,0,0,0,0,0
nhoilongthuyenhoa||tlong,,,,,inf,0,0,,,0,0,0,0,0,0
neubietdolalancuoi||ductruong,,,,,inf,0,0,2369935.0,,0,0,0,0,0,0
pastwontleavemybed||joji,,,,,inf,0,0,,,0,0,0,0,0,0
anhdaonhon||rptmck,,,,,inf,0,0,,,0,0,0,0,0,0
bonghoadepnhat||quanap,,,,,inf,0,0,6193544.0,,0,0,0,0,0,0
saunganaynam||hanhi,,,,,inf,0,0,,6800000.0,0,0,0,0,0,0
tramdungchan||jackj97,,,,,inf,0,0,,6900000.0,0,0,0,0,0,0
dendaybenanh||cloud5,,,,,inf,0,0,6849039.0,,0,0,0,0,0,0
nambenanh||minhdinh,,,,,inf,0,0,7069509.0,,0,0,0,0,0,0
