Title,Artist,Appearance_Count,Platform_Count,Platforms,Date_Count,First_Seen,Last_Seen,Best_Rank,Avg_Rank,Best_Platform,Total_Hit_Score,Avg_Hit_Score,Spotify_Peak_Position,Spotify_Total_Streams,Spotify_Days_On_Chart,Spotify_Peak_Count,AppleMusic_Peak_Position,AppleMusic_Days_On_Chart,AppleMusic_Peak_Count,ZingMP3_Total_Plays,ZingMP3_Total_Likes,NCT_Total_Likes,YouTube_Total_Views,YouTube_Total_Likes,Duration,Spotify_URL,ZingMP3_URL,NCT_URL,YouTube_URL
ANH LÀ THẰNG TỒI,Phùng Khánh Linh,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,5,26.210526315789473,APPLE_MUSIC,1382.6000000000001,72.76842105263158,32.0,1109605.0,23.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Em Không Cần,Hannie,31,3,"NCT, SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,1,51.193548387096776,ZINGMP3,1369.85,44.188709677419354,67.0,673159.0,18.0,1.0,0.0,0.0,0.0,452000.0,9000.0,13721.0,0,0,,,https://zingmp3.vn/bai-hat/Em-Khong-Can-Hannie/Z89A0IZE.html,https://www.nhaccuatui.com/song/2nAn8W8IgHVH,
DẪU CÓ ĐẾN ĐÂU,ANH TRAI SAY HI,22,2,"NCT, ZINGMP3",14,2025-10-31,2025-11-13,13,31.545454545454547,ZINGMP3,1355.2500000000002,61.60227272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,11000.0,16992.0,0,0,04:02,,https://zingmp3.vn/bai-hat/DAU-CO-DEN-DAU-ANH-TRAI-SAY-HI-CONGB-VUONG-BINH-Lohan-Nham-Phuong-Nam/Z89CZ8II.html,https://www.nhaccuatui.com/song/lVItHIYjhTZH,
DANCING IN THE DARK,SOOBIN,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,17,28.36842105263158,SPOTIFY,1354.8,71.30526315789473,3.0,21698857.0,244.0,8.0,,,,0.0,0.0,0.0,0,0,,,,,
Họa Sĩ Tồi,Thái Học,15,1,ZINGMP3,14,2025-10-31,2025-11-13,1,1.3333333333333333,ZINGMP3,1345.5,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,231000.0,0.0,0,0,04:43,,https://zingmp3.vn/bai-hat/Hoa-Si-Toi-Thai-Hoc/Z88IIB8B.html,,
Em Thua Cô Ta,Min Quỳnh Anh,15,1,ZINGMP3,14,2025-10-31,2025-11-13,1,2.4,ZINGMP3,1331.1,88.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,141000.0,0.0,0,0,04:29,,https://zingmp3.vn/bai-hat/Em-Thua-Co-Ta-Min-Quynh-Anh/Z89Z7Z0A.html,,
Love Game,Low G,31,4,"APPLE_MUSIC, NCT, SPOTIFY, ZINGMP3",13,2025-10-31,2025-11-13,19,54.58064516129032,APPLE_MUSIC,1320.2,42.58709677419355,3.0,3652886.0,61.0,2.0,,,,788000.0,11000.0,32444.0,0,0,,,https://zingmp3.vn/bai-hat/Love-Game-Low-G-tlinh/Z88ACAA7.html,https://www.nhaccuatui.com/song/4OMvyyEPeIyr,
Mình Là Người Yêu Cũ,Khả Hiệp,15,1,ZINGMP3,14,2025-10-31,2025-11-13,4,6.0,ZINGMP3,1282.5,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300000.0,213000.0,0.0,0,0,04:53,,https://zingmp3.vn/bai-hat/Minh-La-Nguoi-Yeu-Cu-Kha-Hiep/Z877Z7EW.html,,
một đời,14 Casper,20,2,"NCT, SPOTIFY",13,2025-10-31,2025-11-13,12,33.4,SPOTIFY,1278.5,63.925,10.0,31326887.0,590.0,1.0,0.0,0.0,0.0,0.0,0.0,168723.0,0,0,,,,https://www.nhaccuatui.com/song/ESFq1iGH8zTQ,
Nơi Này Có Anh,Sơn Tùng M-TP,20,2,"NCT, SPOTIFY",13,2025-10-31,2025-11-13,20,32.95,NCT,1254.0499999999997,62.702499999999986,7.0,32436862.0,2129.0,1.0,0.0,0.0,0.0,0.0,0.0,312433.0,0,0,,,,https://www.nhaccuatui.com/song/JzDZ5BW4RSTI,
TIẾC CHO EM,RHYDER,26,2,"SPOTIFY, ZINGMP3",14,2025-10-31,2025-11-13,21,51.0,ZINGMP3,1244.7,47.87307692307692,7.0,1530397.0,26.0,1.0,0.0,0.0,0.0,580000.0,8000.0,0.0,0,0,,,https://zingmp3.vn/bai-hat/TIEC-CHO-EM-RHYDER/Z89D0FCI.html,,
Giờ Thì,buitruonglinh,28,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,27,53.42857142857143,NCT,1231.0,43.964285714285715,10.0,18165221.0,331.0,1.0,,,,0.0,0.0,163689.0,0,0,,,,https://www.nhaccuatui.com/song/dyHwNKu52bax,
Canh Bạc Hôn Nhân,LaLa Trần,15,1,ZINGMP3,14,2025-10-31,2025-11-13,5,10.133333333333333,ZINGMP3,1226.7,81.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503000.0,19000.0,0.0,0,0,05:35,,https://zingmp3.vn/bai-hat/Canh-Bac-Hon-Nhan-LaLa-Tran-Nguyen-Hong-Thuan/Z8AIA6D7.html,,
Phim Ba Người,Nguyễn Vĩ,15,1,ZINGMP3,14,2025-10-31,2025-11-13,9,11.066666666666666,ZINGMP3,1214.1000000000001,80.94000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38200000.0,693000.0,0.0,0,0,05:16,,https://zingmp3.vn/bai-hat/Phim-Ba-Nguoi-Nguyen-Vi/Z8UOW9OB.html,,
giá như,SOOBIN,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,25,36.05263157894737,SPOTIFY,1210.8000000000002,63.726315789473695,9.0,27703226.0,580.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Panorama,Richie D. ICY,20,3,"APPLE_MUSIC, NCT, SPOTIFY",13,2025-10-31,2025-11-13,12,33.45,NCT,1210.6,60.529999999999994,13.0,1529968.0,27.0,1.0,,,,0.0,0.0,20562.0,0,0,,,,https://www.nhaccuatui.com/song/SMJcVKFXYwbM,
Thiệp Hồng Sai Tên,Nguyễn Thành Đạt,16,2,"NCT, ZINGMP3",14,2025-10-31,2025-11-13,4,17.0625,ZINGMP3,1205.95,75.371875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490000.0,28000.0,9394.0,0,0,05:20,,https://zingmp3.vn/bai-hat/Thiep-Hong-Sai-Ten-Nguyen-Thanh-Dat/Z8AU6DAU.html,https://www.nhaccuatui.com/song/Zx6a24zw8U3e,
Hóa Giải Bằng Nước Mắt,Cao Thái Sơn,15,1,ZINGMP3,14,2025-10-31,2025-11-13,16,16.0,ZINGMP3,1147.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500000.0,275000.0,0.0,0,0,04:49,,https://zingmp3.vn/bai-hat/Hoa-Giai-Bang-Nuoc-Mat-Cao-Thai-Son-Le-Chi-Trung/Z7CEDDB6.html,,
HERMOSA,ANH TRAI SAY HI,24,2,"NCT, ZINGMP3",14,2025-10-31,2025-11-13,20,46.5,NCT,1144.6000000000001,47.69166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,18000.0,32284.0,0,0,04:06,,https://zingmp3.vn/bai-hat/HERMOSA-ANH-TRAI-SAY-HI-Son-K-buitruonglinh-Tez-Mason-Nguyen-CONGB/Z89ZDF69.html,https://www.nhaccuatui.com/song/YDxQbcF2YuCl,
Nỗi Đau Giữa Hòa Bình,Hòa Minzy,15,1,ZINGMP3,14,2025-10-31,2025-11-13,13,16.333333333333332,ZINGMP3,1143.0,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6700000.0,160000.0,0.0,0,0,05:19,,https://zingmp3.vn/bai-hat/Noi-Dau-Giua-Hoa-Binh-Hoa-Minzy-Nguyen-Van-Chung/Z88IIO98.html,,
