title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,APPLE_MUSIC_avg_rank,APPLE_MUSIC_first_date,APPLE_MUSIC_last_date,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_avg_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,SPOTIFY_first_date,SPOTIFY_last_date,NCT_appearances,NCT_peak_rank,NCT_avg_rank,NCT_total_likes,NCT_first_date,NCT_last_date,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_avg_rank,ZINGMP3_total_likes,ZINGMP3_total_plays,ZINGMP3_first_date,ZINGMP3_last_date
họa sĩ tồi,thái học,,zingmp3,49.0,2025-08-10,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",112QD7xBOqcYhe4eFrGlxu,1,1.0,1.33,15.0,56.48,,,,,,,,,,,,,,,,,,,,15.0,1.0,1.33,231000.0,10400000.0,2025-10-31,2025-11-13
em thua cô ta,min quỳnh anh,,zingmp3,0.0,2025-11-11,"vinahouse, v-pop",5WFXRCjqQiAz1Dhijfn2Me,1,1.0,2.4,15.0,56.48,,,,,,,,,,,,,,,,,,,,15.0,1.0,2.4,141000.0,3100000.0,2025-10-31,2025-11-13
hà nội,obito,"shiki, vstra","apple, spotify",64.0,2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",5PGh9MyKry8slG5AfvD1eD,2,28.0,53.22,19.0,55.68,8.0,28.0,31.88,2025-11-05,2025-11-12,11.0,50.0,74.55,490.0,23158219.0,11.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
mỹ vị cuộc đời,trung quân,,zingmp3,35.0,2025-11-04,"v-pop, vietnam indie",7cRJyJIwN1BOBzvgxn9nJw,1,3.0,18.67,15.0,55.68,,,,,,,,,,,,,,,,,,,,15.0,3.0,18.67,3000.0,247000.0,2025-10-31,2025-11-13
mình là người yêu cũ,khả hiệp,,zingmp3,37.0,2025-07-22,"vinahouse, v-pop, vietnamese lo-fi",2FkAmNeQP75saHAecg0vkr,1,4.0,6.0,15.0,55.28,,,,,,,,,,,,,,,,,,,,15.0,4.0,6.0,213000.0,9300000.0,2025-10-31,2025-11-13
vaicaunoicokhiennguoithaydoi,grey d,tlinh,"apple, spotify",65.0,2022-06-20,"v-pop, vietnam indie, vietnamese hip hop",5PLjpBivzvuaIIqqkQgnRK,2,30.0,45.36,19.0,54.88,8.0,44.0,46.62,2025-11-05,2025-11-12,11.0,30.0,44.09,1241.0,58390026.0,1.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
phóng zìn zìn,tlinh,low g,"apple, spotify",65.0,2024-09-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3COYA2vgfcUhDyRlVpZy5p,2,30.0,43.33,19.0,54.88,8.0,30.0,37.75,2025-11-05,2025-11-12,11.0,30.0,48.91,419.0,34191379.0,4.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
canh bạc hôn nhân,lala trần,nguyễn hồng thuận,zingmp3,29.0,2025-10-28,"vinahouse, v-pop",79b1ZRb4jNckv5gTPYFJIL,1,5.0,10.13,15.0,54.88,,,,,,,,,,,,,,,,,,,,15.0,5.0,10.13,19000.0,503000.0,2025-10-31,2025-11-13
tự dưng thành người lạ,quốc thiên,,zingmp3,26.0,2025-10-29,"v-pop, vietnamese bolero",0Mys71ZrkIYW1q0Hok3oJW,1,7.0,18.6,15.0,54.08,,,,,,,,,,,,,,,,,,,,15.0,7.0,18.6,18000.0,766000.0,2025-10-31,2025-11-13
phim ba người,nguyễn vĩ,,zingmp3,47.0,2025-04-20,"vinahouse, v-pop",1ngbmFciEb4Kz19bPvPYby,1,9.0,11.07,15.0,53.28,,,,,,,,,,,,,,,,,,,,15.0,9.0,11.07,693000.0,38200000.0,2025-10-31,2025-11-13
