title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,APPLE_MUSIC_avg_rank,APPLE_MUSIC_first_date,APPLE_MUSIC_last_date,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_avg_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,SPOTIFY_first_date,SPOTIFY_last_date,NCT_appearances,NCT_peak_rank,NCT_avg_rank,NCT_total_likes,NCT_first_date,NCT_last_date,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_avg_rank,ZINGMP3_total_likes,ZINGMP3_total_plays,ZINGMP3_first_date,ZINGMP3_last_date
thức giấc,da lab,,spotify,64.0,2021-07-14,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",1MiJk3dXC5jzhvLFP0dUM7,1,39.0,60.0,11.0,38.78,,,,,,11.0,39.0,60.0,1582.0,44240554.0,1.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
ám ảnh về anh,phùng khánh linh,,apple,53.0,2025-10-18,"v-pop, vietnam indie",4mU4LOHUfY3Tv7V1F8pqsr,1,35.0,54.12,8.0,38.5,8.0,35.0,54.12,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
tâm trí lang thang,ánh sáng aza,negav,spotify,64.0,2025-05-15,v-pop,3W77mLoXjQEkNjxvYRifjG,1,40.0,51.09,11.0,38.38,,,,,,11.0,40.0,51.09,161.0,7775190.0,7.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
khóa ly biệt,the masked singer,voi bản đôn,nct,51.0,2023-11-05,v-pop,3BlB5wlzdbgCJGkuPcNVIW,1,39.0,40.44,9.0,37.52,,,,,,,,,,,,,,9.0,39.0,40.44,346785.0,2025-10-31,2025-11-13,,,,,,,
điều em không muốn,phùng khánh linh,,apple,53.0,2025-10-18,"v-pop, vietnam indie",1hhHm16FmHwdob8X95frcB,1,38.0,56.62,8.0,37.3,8.0,38.0,56.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
3 bích,pháp kiều,tlinh,nct,59.0,2025-10-15,"v-pop, vietnamese hip hop",3yrQAZrdlrMVtI4DN9FTIc,1,35.0,40.17,6.0,37.25,,,,,,,,,,,,,,6.0,35.0,40.17,9694.0,2025-10-31,2025-11-07,,,,,,,
10 ngàn năm,pc,,spotify,64.0,2019-12-21,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",2pm7K14nHj2fLrpU8j9bit,1,43.0,51.55,11.0,37.17,,,,,,11.0,43.0,51.55,1246.0,33022520.0,25.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
đừng yêu một người như,du uyên,,zingmp3,10.0,2025-10-29,"v-pop, vinahouse, vietnamese hip hop",6vH7sYEbvUcHwwJKQvW2xH,1,31.0,49.67,3.0,36.97,,,,,,,,,,,,,,,,,,,,3.0,31.0,49.67,3000.0,190000.0,2025-11-09,2025-11-12
nụ hôn đầu,đậu tất đạt,,zingmp3,11.0,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",2cZEbXZ7i1HVn2FvXrqInO,1,31.0,45.33,3.0,36.97,,,,,,,,,,,,,,,,,,,,3.0,31.0,45.33,5000.0,,2025-11-07,2025-11-08
nolovenolife,hieuthuhai,,apple,61.0,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",6D94p9ASguBcYlDC0o56vx,1,40.0,44.75,8.0,36.5,8.0,40.0,44.75,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
thương,bích phương,,zingmp3,52.0,2025-10-23,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",64R6c49ljNaTEl7sGZxQ00,1,48.0,64.54,13.0,36.42,,,,,,,,,,,,,,,,,,,,13.0,48.0,64.54,4000.0,358000.0,2025-10-31,2025-11-13
đánh đổi,obito,"shiki, rpt mck","apple, spotify",62.0,2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",1UQNU5O9VttUgO16pxUnjw,2,64.0,74.41,11.0,36.28,8.0,64.0,72.5,2025-11-05,2025-11-12,3.0,69.0,76.33,489.0,17580986.0,46.0,2025-11-08,2025-11-10,,,,,,,,,,,,,
cơ hội cuối,an vũ,,zingmp3,52.0,2025-04-25,"v-pop, vinahouse, vietnamese lo-fi",2UntIOBeaSlLJrZbc3bdmD,1,52.0,59.67,15.0,36.08,,,,,,,,,,,,,,,,,,,,15.0,52.0,59.67,188000.0,11500000.0,2025-10-31,2025-11-13
hoa đỗ quyên,khả hiệp,,zingmp3,13.0,2025-09-22,"vinahouse, v-pop, vietnamese lo-fi",683tqruHrjbdocY4cJtCW5,1,38.0,52.5,6.0,36.05,,,,,,,,,,,,,,,,,,,,6.0,38.0,52.5,2000.0,106000.0,2025-11-01,2025-11-06
lo người ướt áo,nguyễn thạc bảo ngọc,,zingmp3,0.0,2025-11-11,"vinahouse, v-pop",5XnkbEgL1vKoor7Us9YLTr,1,53.0,75.93,15.0,35.67,,,,,,,,,,,,,,,,,,,,15.0,53.0,75.93,4000.0,219000.0,2025-10-31,2025-11-13
sau cơn mưa,coolkid,rhyder,spotify,64.0,2023-07-28,"v-pop, vietnamese hip hop",4fj4Jn4nw8fGX8xdbCntJf,1,46.0,74.2,10.0,35.35,,,,,,10.0,46.0,74.2,800.0,51114173.0,7.0,2025-10-31,2025-11-10,,,,,,,,,,,,,
chim hót bên trong lâu đài,lyhan,,zingmp3,,,,,1,32.0,32.0,1.0,35.33,,,,,,,,,,,,,,,,,,,,1.0,32.0,32.0,4000.0,,2025-11-13,2025-11-13
kẻ say tình,quốc thiên,,zingmp3,40.0,2025-07-30,"v-pop, vietnamese bolero",6a5IEsMgdzImE9cYLAQ900,1,55.0,64.67,15.0,34.88,,,,,,,,,,,,,,,,,,,,15.0,55.0,64.67,23000.0,2600000.0,2025-10-31,2025-11-13
không yêu em thì yêu ai?,vũ.,low g,spotify,64.0,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",0e6fZkLArSmDIHnZcIua7t,1,49.0,56.09,11.0,34.78,,,,,,11.0,49.0,56.09,411.0,21813432.0,14.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
mê cung 79 (metal rock),phương thanh,,zingmp3,7.0,2025-10-17,"v-pop, vietnamese bolero",3LV8EqCzpObmq8eI7nMZ4D,1,35.0,51.5,2.0,34.75,,,,,,,,,,,,,,,,,,,,2.0,35.0,51.5,1000.0,,2025-11-07,2025-11-07
thấu tình,trung hiếu,,zingmp3,24.0,2025-10-04,,1b91Vu4yC75Gs0m8AooXCo,1,56.0,65.73,15.0,34.48,,,,,,,,,,,,,,,,,,,,15.0,56.0,65.73,12000.0,418000.0,2025-10-31,2025-11-13
bóng tối yêu đời,lyhan,,zingmp3,,,,,1,35.0,35.0,1.0,34.12,,,,,,,,,,,,,,,,,,,,1.0,35.0,35.0,10000.0,,2025-11-13,2025-11-13
thanh xuân,da lab,,apple,61.0,2018-08-24,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",3b34161QoxLwsqhWSPy9i5,1,46.0,50.62,8.0,34.1,8.0,46.0,50.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
sau ngần ấy năm,hà nhi,,zingmp3,50.0,2025-05-21,"v-pop, vinahouse, vietnam indie, vietnamese lo-fi",2k6iN3YG0R1uIWIhY4GsH9,1,57.0,69.73,15.0,34.08,,,,,,,,,,,,,,,,,,,,15.0,57.0,69.73,77000.0,6800000.0,2025-10-31,2025-11-13
hoa,chung thanh duy,,zingmp3,32.0,2025-06-26,"vinahouse, v-pop, vietnamese hip hop, vietnamese lo-fi",5Dn0JXPDrBrYW3CXEaAnRl,1,57.0,64.47,15.0,34.08,,,,,,,,,,,,,,,,,,,,15.0,57.0,64.47,46000.0,3200000.0,2025-10-31,2025-11-13
đại khải hoàn,the flob,chin,zingmp3,39.0,2025-11-06,"vietnam indie, v-pop",2Yp2PMt1fepfBELHIPzvaA,1,36.0,36.0,1.0,33.72,,,,,,,,,,,,,,,,,,,,1.0,36.0,36.0,8000.0,,2025-11-08,2025-11-08
đường tôi chở em về,buitruonglinh,,spotify,63.0,2020-07-03,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",27F22WcGDyl4Z2KylVJkXL,1,52.0,68.3,10.0,32.95,,,,,,10.0,52.0,68.3,1098.0,18970969.0,13.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
vật đổi sao dời,lyhan,,zingmp3,,,,,1,38.0,38.0,1.0,32.92,,,,,,,,,,,,,,,,,,,,1.0,38.0,38.0,3000.0,,2025-11-13,2025-11-13
chẳng nợ ai ngoài em,lê gia bảo,,zingmp3,36.0,2025-09-23,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",0kjkrg5N3Hf0mPcF5tqOyK,1,60.0,69.93,15.0,32.88,,,,,,,,,,,,,,,,,,,,15.0,60.0,69.93,16000.0,859000.0,2025-10-31,2025-11-13
hãy nói anh sai rồi,phùng khánh linh,,apple,53.0,2025-10-18,"v-pop, vietnam indie",1mZCfyJVxvkqkKd3xlOk2H,1,50.0,73.62,8.0,32.5,8.0,50.0,73.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
chịu cách mình nói thua,rhyder,"coolkid, ban",spotify,64.0,2023-11-22,"v-pop, vietnamese hip hop",3ZbZtdEw9U0uZW4tZItIwq,1,55.0,69.64,11.0,32.38,,,,,,11.0,55.0,69.64,721.0,51257115.0,4.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
trạm dừng chân,jack - j97,,zingmp3,52.0,2025-06-05,"v-pop, vinahouse",2LFIRb0QGk7fylgT70idKy,1,62.0,74.4,15.0,32.08,,,,,,,,,,,,,,,,,,,,15.0,62.0,74.4,106000.0,6900000.0,2025-10-31,2025-11-13
ghé qua,pc,"dick, tofutns",spotify,62.0,2018-03-17,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",6Q2oEdOhRjZ1DTv2a7j0lN,1,54.0,73.11,9.0,31.52,,,,,,9.0,54.0,73.11,456.0,13780208.0,44.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
lễ đường,kai đinh,,"spotify, zingmp3",62.0,2025-03-09,"v-pop, vietnamese lo-fi, vietnam indie",3y66li7DIrH7HLKIZzxR5H,2,79.0,93.02,13.0,31.52,,,,,,10.0,79.0,87.7,245.0,15103951.0,3.0,2025-10-31,2025-11-11,,,,,,,3.0,97.0,98.33,148000.0,10200000.0,2025-11-05,2025-11-11
anh thua anh ta,gia huy singer,,zingmp3,20.0,2025-11-06,"vinahouse, v-pop",2JLbmO8Hs5LHJRUMxQefwM,1,48.0,54.2,5.0,31.42,,,,,,,,,,,,,,,,,,,,5.0,48.0,54.2,5000.0,102000.0,2025-11-09,2025-11-13
vet mua,vũ cát tường,,spotify,63.0,2014-01-01,"v-pop, vietnam indie",5cn5oHiXJTLiuthgbgfkMh,1,58.0,69.73,11.0,31.18,,,,,,11.0,58.0,69.73,551.0,14086760.0,37.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
mộng tình si,đan trường,"hòa minzy, lê thành trung",zingmp3,0.0,2025-11-08,,2XRX3BGuwrIQd5vJR4U2KJ,1,43.0,43.0,1.0,30.92,,,,,,,,,,,,,,,,,,,,1.0,43.0,43.0,1000.0,29000.0,2025-11-10,2025-11-10
hẹn gặp em dưới ánh trăng,manbo,"hieuthuhai, hurrykng",spotify,63.0,2020-09-25,"vietnamese hip hop, v-pop, vietnam indie",0s7RyyUlQfd8mnnboHe18n,1,59.0,74.82,11.0,30.78,,,,,,11.0,59.0,74.82,628.0,29527248.0,15.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
từng quen,wren evans,itsnk,apple,56.0,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",4qYfRfSxsmhJ1WMaywtLyI,1,55.0,66.62,8.0,30.5,8.0,55.0,66.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
yêu 5,rhymastic,,apple,60.0,2017-01-01,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5U30iZBlmxkpHqzb1OSnBS,1,55.0,56.38,8.0,30.5,8.0,55.0,56.38,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
cục vàng của anh,nana liu,,zingmp3,29.0,2025-08-07,v-pop,3nYfepu0HuPI6sidP45wo3,1,66.0,74.47,15.0,30.48,,,,,,,,,,,,,,,,,,,,15.0,66.0,74.47,30000.0,1300000.0,2025-10-31,2025-11-13
anh muốn nhìn thấy em,the wind,dangrangto,spotify,61.0,2023-07-27,"vietnamese hip hop, v-pop",5VGOYjxkEaf19LoRPIolD2,1,51.0,78.0,5.0,30.22,,,,,,5.0,51.0,78.0,330.0,10475497.0,51.0,2025-11-01,2025-11-09,,,,,,,,,,,,,
anh lại say rồi,phan duy anh,t.a.p entertainment (producer t.a),zingmp3,23.0,2025-09-20,"vinahouse, v-pop, vietnamese bolero",2xO02FYqG0OKm53WwEU4FL,1,67.0,75.13,15.0,30.08,,,,,,,,,,,,,,,,,,,,15.0,67.0,75.13,11000.0,825000.0,2025-10-31,2025-11-13
đã lỡ yêu em nhiều,justatee,,spotify,62.0,2022-07-11,"v-pop, vietnamese hip hop, vietnam indie",3J3nv18iIrOhca1ZWNeuyW,1,59.0,77.78,9.0,29.52,,,,,,9.0,59.0,77.78,955.0,15922127.0,59.0,2025-11-01,2025-11-11,,,,,,,,,,,,,
vũ trụ song song,lyhan,,zingmp3,,,,,1,47.0,47.0,1.0,29.33,,,,,,,,,,,,,,,,,,,,1.0,47.0,47.0,3000.0,,2025-11-13,2025-11-13
chăm hoa,mono,,apple,61.0,2024-10-22,"v-pop, vietnamese hip hop, vinahouse",40pWxpbXoBYGPCiofujjZ6,1,58.0,68.12,8.0,29.3,8.0,58.0,68.12,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
xin đừng lặng im,soobin,,spotify,62.0,2025-02-13,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4CVxKSRLUxqUuj2z9vn4fS,1,64.0,78.36,11.0,28.78,,,,,,11.0,64.0,78.36,169.0,6059142.0,33.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nàng thơ,hoàng dũng,,apple,56.0,2020-12-16,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",1w3eUC89GPspKpi62tPwjt,1,61.0,64.25,8.0,28.1,8.0,61.0,64.25,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
grief is the price you pay for love,phùng khánh linh,,apple,52.0,2025-10-18,"v-pop, vietnam indie",0No0rqyK0KIsesiwrnnhaf,1,58.0,72.6,5.0,27.42,5.0,58.0,72.6,2025-11-05,2025-11-09,,,,,,,,,,,,,,,,,,,,,
đoạn kết mới,hoàng dũng,,apple,55.0,2022-08-24,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",72YmbRPOa2DZKe4HzdFG9B,1,63.0,69.62,8.0,27.3,8.0,63.0,69.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
nếu biết đó là lần cuối,đức trường,bmz,spotify,60.0,2022-08-19,v-pop,2w7jOvl0kpplNxisgfnCdT,1,67.0,80.9,10.0,26.95,,,,,,10.0,67.0,80.9,83.0,2334057.0,67.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
fragile (intro),min,,apple,49.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4pqM9QR5Lhqff8od49nFjr,1,57.0,72.0,3.0,26.58,3.0,57.0,72.0,2025-11-05,2025-11-07,,,,,,,,,,,,,,,,,,,,,
khóc blóck,phùng khánh linh,,apple,51.0,2025-10-18,"v-pop, vietnam indie",7D7Atev6IsLXMvO7Z5MnL0,1,65.0,71.62,8.0,26.5,8.0,65.0,71.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
đừng yêu một người như (rock version),du uyên,,zingmp3,10.0,2025-10-29,"v-pop, vinahouse, vietnamese hip hop",6vH7sYEbvUcHwwJKQvW2xH,1,56.0,68.5,2.0,26.35,,,,,,,,,,,,,,,,,,,,2.0,56.0,68.5,4000.0,,2025-11-07,2025-11-07
tình yêu chậm trễ,monstar,,spotify,62.0,2021-08-01,"v-pop, vietnam indie",6jcLKVmEKAQIXIVHJZ8vzS,1,67.0,80.11,9.0,26.33,,,,,,9.0,67.0,80.11,1049.0,29263147.0,39.0,2025-11-01,2025-11-11,,,,,,,,,,,,,
hai thế giới,hoàng thống,trang hàn,zingmp3,18.0,2025-10-16,"vietnam indie, v-pop",0fXxzf54BMzKQjFSYIpSH5,1,58.0,64.67,3.0,26.18,,,,,,,,,,,,,,,,,,,,3.0,58.0,64.67,5000.0,,2025-11-07,2025-11-08
thiêu thân,anh trai say hi,"khoi vu, b ray, ryn lee, phạm đình thái ngân, bùi duy ngọc",zingmp3,57.0,2025-09-29,"v-pop, vietnamese hip hop",5o5ITFH6KuV6OrdTJqZ80A,1,76.0,85.0,14.0,25.85,,,,,,,,,,,,,,,,,,,,14.0,76.0,85.0,12000.0,756000.0,2025-10-31,2025-11-13
hư không,kha,,spotify,61.0,2023-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",3A9A7mfVDVm3rrS9SMGhg5,1,67.0,83.38,8.0,25.7,,,,,,8.0,67.0,83.38,670.0,26205233.0,18.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
em nhắc anh,nana liu,htm,zingmp3,28.0,2025-09-15,v-pop,0w56wxs7eDLdzoM8Svatxl,1,78.0,87.13,15.0,25.68,,,,,,,,,,,,,,,,,,,,15.0,78.0,87.13,17000.0,653000.0,2025-10-31,2025-11-13
tưởng rằng sau cơn mưa,lê gia bảo,bmz,zingmp3,25.0,2025-06-25,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",303ASjpwoiTxGr35416OmR,1,75.0,88.31,13.0,25.62,,,,,,,,,,,,,,,,,,,,13.0,75.0,88.31,18000.0,1900000.0,2025-10-31,2025-11-13
ngày bình thường quên người mình thương,phát huy t4,,zingmp3,35.0,2025-09-11,"vinahouse, v-pop, vietnamese lo-fi",5g7XMUEmsbomaF9iSfZX4s,1,79.0,84.8,15.0,25.28,,,,,,,,,,,,,,,,,,,,15.0,79.0,84.8,10000.0,779000.0,2025-10-31,2025-11-13
ngã về không,đặng thiên chí,,zingmp3,30.0,2025-05-09,"vinahouse, vietnamese lo-fi",4OZpPHVEIIHFhVOu2DBGJd,1,77.0,84.23,13.0,24.83,,,,,,,,,,,,,,,,,,,,13.0,77.0,84.23,90000.0,5600000.0,2025-10-31,2025-11-13
duyên nợ còn đâu,phạm vũ luân,,zingmp3,1.0,2025-10-30,,00oXuoc8EYyZpg0FYJHqE3,1,63.0,67.33,3.0,24.18,,,,,,,,,,,,,,,,,,,,3.0,63.0,67.33,3000.0,65000.0,2025-11-10,2025-11-13
pin dự phòng,dương domic,lou hoàng,apple,,,,,1,62.0,77.0,2.0,23.95,2.0,62.0,77.0,2025-11-11,2025-11-12,,,,,,,,,,,,,,,,,,,,,
ilysmbihtlyg (interlude),min,,apple,49.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3To9alnOgQ0abb9odA1C74,1,64.0,77.33,3.0,23.78,3.0,64.0,77.33,2025-11-05,2025-11-07,,,,,,,,,,,,,,,,,,,,,
ướt lòng,văn mai hương,,zingmp3,46.0,2025-07-29,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",6EkzQNe7SEAuFZbeo4Gf1S,1,83.0,89.67,15.0,23.68,,,,,,,,,,,,,,,,,,,,15.0,83.0,89.67,23000.0,2300000.0,2025-10-31,2025-11-13
kệ nhắm mắt yêu luôn,hana cẩm tiên,tuệ ny,zingmp3,32.0,2025-08-05,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",1tteKpc4fNBOmx9kjORyeH,1,82.0,87.64,14.0,23.45,,,,,,,,,,,,,,,,,,,,14.0,82.0,87.64,35000.0,1300000.0,2025-10-31,2025-11-13
đợi,52hz,"wean, rio",spotify,62.0,2024-01-31,"v-pop, vietnam indie, vietnamese hip hop",33S16Xa5cZmLPhn6eZI4Nm,1,70.0,79.83,6.0,23.25,,,,,,6.0,70.0,79.83,477.0,15456357.0,40.0,2025-11-01,2025-11-10,,,,,,,,,,,,,
hải trình tan vỡ,trungg i.u,phạm anh duy,zingmp3,50.0,2025-09-15,"v-pop, vinahouse, vietnam indie",5teXF6aAKNuZSSpaP7Bjbo,1,81.0,89.77,13.0,23.22,,,,,,,,,,,,,,,,,,,,13.0,81.0,89.77,8000.0,756000.0,2025-10-31,2025-11-12
moiem,dangrangto,donal,spotify,62.0,2024-11-06,"vietnamese hip hop, v-pop",265hQASPY3HFmUH38zZrSK,1,72.0,87.0,7.0,23.08,,,,,,7.0,72.0,87.0,369.0,15143317.0,22.0,2025-11-05,2025-11-11,,,,,,,,,,,,,
sài gòn hôm nay mưa,jsol,hoàng duyên,spotify,62.0,2021-05-29,"v-pop, vietnamese hip hop, vietnamese lo-fi",1xoadYaxtOp9gHDwgmPDuz,1,77.0,87.8,10.0,22.95,,,,,,10.0,77.0,87.8,1627.0,46973111.0,2.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nhiều chuyện,the flob,,zingmp3,38.0,2025-10-24,"vietnam indie, v-pop",2Dz03B4vbLiViXJvHOFrm9,1,63.0,63.0,1.0,22.92,,,,,,,,,,,,,,,,,,,,1.0,63.0,63.0,16000.0,,2025-11-08,2025-11-08
yêu thật lòng đâu dễ quên,the men,,zingmp3,32.0,2025-08-19,"v-pop, vinahouse, vietnamese bolero",3vbTwb2UUQivQtu1rAq1zu,1,84.0,94.5,14.0,22.65,,,,,,,,,,,,,,,,,,,,14.0,84.0,94.5,10000.0,1300000.0,2025-10-31,2025-11-13
feel at home,b ray,,apple,61.0,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",7uulTURh3qtUEUnMNtgcA6,1,76.0,82.25,8.0,22.1,8.0,76.0,82.25,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
giữ anh cho ngày hôm qua,hoàng dũng,"rhymastic, lelarec",apple,61.0,2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",5wYQC7AuxV8ROALWcbVNxc,1,77.0,80.62,8.0,21.7,8.0,77.0,80.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
the playah (special performance),soobin,,apple,51.0,2021-05-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",63qZf6349d3ngku9hrzLac,1,77.0,86.75,8.0,21.7,8.0,77.0,86.75,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
thích quá rùi nà,tlinh,trung trần,spotify,62.0,2023-07-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4qJSUFwZFouto5VZUlln75,1,71.0,87.0,4.0,21.6,,,,,,4.0,71.0,87.0,1879.0,40004963.0,30.0,2025-11-05,2025-11-10,,,,,,,,,,,,,
thời thế thế thời (rock version),nguyễn vĩ,,zingmp3,15.0,2025-10-25,"vinahouse, vietnamese lo-fi, v-pop",1kD03X4GB4Muu3302hceep,1,68.0,79.5,2.0,21.55,,,,,,,,,,,,,,,,,,,,2.0,68.0,79.5,2000.0,,2025-11-07,2025-11-07
nỗi nhớ không tên,will,myra trần,zingmp3,,,,,1,67.0,67.0,1.0,21.33,,,,,,,,,,,,,,,,,,,,1.0,67.0,67.0,2000.0,183000.0,2025-11-12,2025-11-12
simp gái 808,low g,,spotify,61.0,2023-10-18,"vietnamese hip hop, v-pop, vietnam indie",2ppLwHSMgDGEQ5c8o6nAX2,1,69.0,76.5,2.0,21.15,,,,,,2.0,69.0,76.5,751.0,35207783.0,7.0,2025-11-05,2025-11-11,,,,,,,,,,,,,
người bình thường,vũ cát tường,,spotify,61.0,2023-12-04,"v-pop, vietnam indie",1fFvYVg1v3rpUSqKNCUh7b,1,80.0,91.22,9.0,21.12,,,,,,9.0,80.0,91.22,247.0,7417916.0,43.0,2025-11-01,2025-11-11,,,,,,,,,,,,,
một mình chẳng sao,ngân ngân,,zingmp3,11.0,2025-10-31,"vinahouse, v-pop, vietnamese bolero",61p3IxFOF7tzVJvl2whEmP,1,77.0,79.71,7.0,21.08,,,,,,,,,,,,,,,,,,,,7.0,77.0,79.71,3000.0,193000.0,2025-10-31,2025-11-06
chúc phúc,pialinh,,zingmp3,36.0,2025-10-15,"v-pop, vietnam indie",4H2Tp0m4qVHdMc70g2Wf8J,1,68.0,68.0,1.0,20.92,,,,,,,,,,,,,,,,,,,,1.0,68.0,68.0,21000.0,,2025-11-08,2025-11-08
nhói lòng thuyền hoa (rock version),tlong,lkt media,zingmp3,4.0,2025-10-28,"vinahouse, v-pop, vietnamese lo-fi",2dbZRzKtHp4NSnFwECJp6g,1,70.0,82.5,2.0,20.75,,,,,,,,,,,,,,,,,,,,2.0,70.0,82.5,2000.0,,2025-11-07,2025-11-07
love my friend,shayda,,"apple, spotify",59.0,2025-10-10,"v-pop, vietnamese hip hop",6CjmlnDoRepubCwg3hFO1H,2,92.0,97.66,4.0,20.7,1.0,98.0,98.0,2025-11-08,2025-11-08,3.0,92.0,97.33,20.0,736208.0,53.0,2025-10-31,2025-11-05,,,,,,,,,,,,,
trọn vẹn chính mình,hương giang,nguyễn văn chung,zingmp3,23.0,2025-11-07,"v-pop, vietnamese bolero",51jTXqdqEMoXsa73nqb05a,1,69.0,69.0,1.0,20.52,,,,,,,,,,,,,,,,,,,,1.0,69.0,69.0,34000.0,,2025-11-08,2025-11-08
bắc thang lên hỏi ông trời,em xinh say hi,"bích phương, juky san, lamoon, mỹ mỹ, quỳnh anh shyn",zingmp3,56.0,2025-08-04,v-pop,15YePdrwoWzDN68BanP7r4,1,85.0,92.55,11.0,20.38,,,,,,,,,,,,,,,,,,,,11.0,85.0,92.55,34000.0,2600000.0,2025-10-31,2025-11-10
nước mắt cá sấu,hieuthuhai,,apple,63.0,2025-04-01,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",39XiO6D9cuMfJXObD6gVjY,1,82.0,86.62,8.0,19.7,8.0,82.0,86.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
cứ khóc hết đi em,cao thái sơn,,zingmp3,18.0,2025-07-08,"v-pop, vinahouse, vietnamese bolero",1sslAVOfUCEorztohvA41g,1,78.0,85.4,5.0,19.42,,,,,,,,,,,,,,,,,,,,5.0,78.0,85.4,7000.0,821000.0,2025-11-03,2025-11-09
có còn yêu em,nguyễn kiều oanh,,zingmp3,44.0,2025-08-16,v-pop,2omZCdoslK3YXKOS4oFQVl,1,89.0,95.67,12.0,19.4,,,,,,,,,,,,,,,,,,,,12.0,89.0,95.67,12000.0,963000.0,2025-10-31,2025-11-11
nghe như tình yêu,hieuthuhai,,spotify,61.0,2021-07-09,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",1J12HjUuXfJnaUdubTEzSR,1,75.0,82.33,3.0,19.38,,,,,,3.0,75.0,82.33,1511.0,39104108.0,30.0,2025-11-05,2025-11-08,,,,,,,,,,,,,
giá mà anh,captain boy,,spotify,58.0,2025-10-23,"v-pop, vietnamese hip hop",7hF5DFtzMER5KzHA1nCTYq,1,75.0,86.33,3.0,19.38,,,,,,3.0,75.0,86.33,12.0,416932.0,69.0,2025-10-31,2025-11-04,,,,,,,,,,,,,
