title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
buông đôi tay nhau ra,sơn tùng m-tp,nan,"nct, spotify",67,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",3P3rcI48wwVEgxF5vPM6pG,buongdoitaynhaura||sontungmtp,"('buông đôi tay nhau ra', 'm-tp, sơn, tùng', 'nan')"
cạn dòng ướt mi,dee trần,nan,zingmp3,5,2025-11-01,"v-pop, vinahouse",3Jpf0TLSWmlDt4v9L3ck78,candonguotmi||deetran,"('cạn dòng ướt mi', 'dee, trần', 'nan')"
canh bạc hôn nhân,lala trần,nguyễn hồng thuận,zingmp3,29,2025-10-28,"vinahouse, v-pop",79b1ZRb4jNckv5gTPYFJIL,canhbachonnhan||lalatran,"('canh bạc hôn nhân', 'lala, trần', 'hồng, nguyễn, thuận')"
chăm hoa,mono,nan,apple,61,2024-10-22,"v-pop, vietnamese hip hop, vinahouse",40pWxpbXoBYGPCiofujjZ6,chamhoa||mono,"('chăm hoa', 'mono', 'nan')"
chằn tinh,lyhan,nan,zingmp3,32,2025-11-11,v-pop,5qQ5rZkL8iu3ZT8fEs6RLj,chantinh||lyhan,"('chằn tinh', 'lyhan', 'nan')"
chẳng nợ ai ngoài em,lê gia bảo,nan,zingmp3,36,2025-09-23,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",0kjkrg5N3Hf0mPcF5tqOyK,changnoaingoaiem||legiabao,"('chẳng nợ ai ngoài em', 'bảo, gia, lê', 'nan')"
chẳng phải tình đầu sao đau đến thế,min,"dangrangto, antransax","apple, nct, spotify",67,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3T7XHOdRcyhKU3QCB6kZG3,changphaitinhdausaodaudenthe||min,"('chẳng phải tình đầu sao đau đến thế', 'min', 'antransax, dangrangto')"
chẳng thể cảm hóa,lương quý tuấn,an clock,zingmp3,43,2025-05-14,"vinahouse, v-pop",7GeFFX8J17502ne4TRDVSi,changthecamhoa||luongquytuan,"('chẳng thể cảm hóa', 'lương, quý, tuấn', 'an, clock')"
chế độ im lặng,min,nan,apple,56,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",44XA6tVReCIX8T1c3l9f75,chedoimlang||min,"('chế độ im lặng', 'min', 'nan')"
chỉ anh làm em khóc,đàm vĩnh hưng,trần mạnh cường,zingmp3,29,2025-10-08,"vietnamese bolero, bolero, v-pop, vinahouse",1cU4xCTzmAI7irO2pqFYEX,chianhlamemkhoc||damvinhhung,"('chỉ anh làm em khóc', 'hưng, vĩnh, đàm', 'cường, mạnh, trần')"
chí phèo,đinh tiến đạt,monocycle,zingmp3,18,2025-10-15,"v-pop, vietnamese hip hop, vietnam indie",7tG1fSCUeG9NqCeyRonXPG,chipheo||dinhtiendat,"('chí phèo', 'tiến, đinh, đạt', 'monocycle')"
chill guys ngon zai,anh trai say hi,"bigdaddy, ogenus, b ray, phúc du",zingmp3,55,2025-09-22,"v-pop, vietnamese hip hop",7bRV274z4g3Lns0xV8xYzY,chillguysngonzai||anhtraisayhi,"('chill guys ngon zai', 'anh, hi, say, trai', 'b, bigdaddy, du, ogenus, phúc, ray')"
chim hót bên trong lâu đài,lyhan,nan,zingmp3,29,2025-11-11,v-pop,3Js7L0R4Kx9zcx8GTaEira,chimhotbentronglaudai||lyhan,"('chim hót bên trong lâu đài', 'lyhan', 'nan')"
chìm sâu,rpt mck,trung trần,apple,59,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",7jLSThU5Kg1RWt19Leiaxm,chimsau||rptmck,"('chìm sâu', 'mck, rpt', 'trung, trần')"
chịu cách mình nói thua,rhyder,"coolkid, ban",spotify,64,2023-11-22,"v-pop, vietnamese hip hop",3ZbZtdEw9U0uZW4tZItIwq,chiucachminhnoithua||rhyder,"('chịu cách mình nói thua', 'rhyder', 'ban, coolkid')"
